exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.1894,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.7575,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.9591,100000,104262.6949,1.9739,552.8809,0.0000,552.8809,192.0530,0.0000,87.2548,38
rtc_controller_active_rep03,RTC-CONTROLLER-ACTIVE,0,"Phase A (Read Sensitive)",0.8408,100000,118938.3461,1.3682,592.7816,0.0000,592.7816,475.7386,0.0000,72.3997,29
rtc_controller_active_rep03,RTC-CONTROLLER-ACTIVE,0,"Phase B (Write Burst)",3.4724,100000,28798.5094,9.2136,2374.2493,0.0000,2374.2493,1938.0654,0.0000,250.7324,32
rtc_controller_active_rep03,RTC-CONTROLLER-ACTIVE,0,"Phase B-Inject (20% Window)",0.6945,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep03,RTC-CONTROLLER-ACTIVE,0,"Phase B-PostBurst (80% Window)",2.7779,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep03,RTC-CONTROLLER-ACTIVE,0,"Phase C (Read Recovery)",4.3845,100000,22807.5576,6.7352,3019.9517,0.0000,3019.9517,2487.6511,0.0000,205.1659,38
rtc_native_t512_rep03,RTC-NATIVE-T512,512,"Phase A (Read Sensitive)",0.5334,100000,187460.9827,1.0535,236.7067,0.0000,236.7067,149.8958,0.0000,53.6056,29
rtc_native_t512_rep03,RTC-NATIVE-T512,512,"Phase B (Write Burst)",0.9661,100000,103507.2688,2.6224,536.3814,0.0000,536.3814,306.0479,0.0000,121.6186,32
rtc_native_t512_rep03,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.1932,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep03,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.7729,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep03,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.9260,100000,107987.7984,2.1511,488.8893,0.0000,488.8893,190.6616,0.0000,79.1925,38
rtc_controller_observe_rep03,RTC-CONTROLLER-OBSERVE,0,"Phase A (Read Sensitive)",0.7616,100000,131304.8900,1.2365,511.6198,0.0000,511.6198,412.5972,0.0000,67.6493,29
rtc_controller_observe_rep03,RTC-CONTROLLER-OBSERVE,0,"Phase B (Write Burst)",10.5410,100000,9486.7362,25.0900,7266.3412,0.0000,7266.3412,6922.5031,0.0000,258.2886,32
rtc_controller_observe_rep03,RTC-CONTROLLER-OBSERVE,0,"Phase B-Inject (20% Window)",2.1082,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
