elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
62.07,phase_a,0,13,3081940529,12,1777
62.07,phase_a,1,0,0,0,0
62.07,phase_a,2,0,0,0,0
62.07,phase_a,3,0,0,0,0
62.07,phase_a,4,0,0,0,0
62.07,phase_a,5,17,2224220654,0,0
62.07,phase_a,6,28,1830322440,0,0
174.01,phase_b,0,15,5915199759,15,8093
174.01,phase_b,1,0,0,0,0
174.01,phase_b,2,0,0,0,0
174.01,phase_b,3,0,0,0,0
174.01,phase_b,4,28,3278206436,17,3781
174.01,phase_b,5,4,510673454,4,1202
174.01,phase_b,6,91,5884140361,0,0
366.35,phase_c,0,11,4993440062,5,24762
366.35,phase_c,1,0,0,0,0
366.35,phase_c,2,0,0,0,0
366.35,phase_c,3,0,0,0,0
366.35,phase_c,4,50,6143900289,12,3833
366.35,phase_c,5,12,921986591,5,1258
366.35,phase_c,6,170,11117631539,0,0
546.80,phase_d,0,12,3744609528,0,0
546.80,phase_d,1,0,0,0,0
546.80,phase_d,2,0,0,0,0
546.80,phase_d,3,0,0,0,0
546.80,phase_d,4,24,2415518745,14,11263
546.80,phase_d,5,23,1935275385,9,2956
546.80,phase_d,6,283,18929574677,0,0
1149.32,COOLDOWN_FINAL,0,0,0,0,0
1149.32,COOLDOWN_FINAL,1,0,0,0,0
1149.32,COOLDOWN_FINAL,2,0,0,0,0
1149.32,COOLDOWN_FINAL,3,0,0,0,0
1149.32,COOLDOWN_FINAL,4,3,177209743,1,51
1149.32,COOLDOWN_FINAL,5,19,1786295418,10,2349
1149.32,COOLDOWN_FINAL,6,319,20979040434,0,0
