exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtp_mc_v2a_rep04,RTP-MC-V2A,0,"Phase A (Read Sensitive)",0.4476,100000,223415.5238,0.7352,301.0816,0.0000,301.0816,248.6144,0.0000,48.7706,29
rtp_mc_v2a_rep04,RTP-MC-V2A,0,"Phase B (Write Burst)",1.2033,100000,83105.0878,3.2537,1137.7652,0.0000,1137.7652,882.6519,0.0000,133.5948,32
rtp_mc_v2a_rep04,RTP-MC-V2A,0,"Phase B-Inject (20% Window)",0.2407,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep04,RTP-MC-V2A,0,"Phase B-PostBurst (80% Window)",0.9626,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep04,RTP-MC-V2A,0,"Phase C (Read Recovery)",0.9452,100000,105800.9687,1.8209,644.0912,0.0000,644.0912,432.5662,0.0000,95.6730,38
native_t512_rep04,RTC-T512,512,"Phase A (Read Sensitive)",0.3586,100000,278870.4371,0.6657,164.3575,0.0000,164.3575,107.2819,0.0000,47.0293,29
native_t512_rep04,RTC-T512,512,"Phase B (Write Burst)",0.6816,100000,146703.0010,1.5726,309.2169,0.0000,309.2169,178.4756,0.0000,111.6593,32
native_t512_rep04,RTC-T512,512,"Phase B-Inject (20% Window)",0.1363,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep04,RTC-T512,512,"Phase B-PostBurst (80% Window)",0.5453,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep04,RTC-T512,512,"Phase C (Read Recovery)",0.6555,100000,152552.0569,1.3338,312.9870,0.0000,312.9870,139.1301,0.0000,82.5738,38
native_t512_rep05,RTC-T512,512,"Phase A (Read Sensitive)",0.3667,100000,272693.5341,0.6907,179.4516,0.0000,179.4516,122.2837,0.0000,50.2708,29
native_t512_rep05,RTC-T512,512,"Phase B (Write Burst)",0.6843,100000,146126.7711,1.5128,298.9003,0.0000,298.9003,173.1494,0.0000,118.9223,32
native_t512_rep05,RTC-T512,512,"Phase B-Inject (20% Window)",0.1369,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep05,RTC-T512,512,"Phase B-PostBurst (80% Window)",0.5475,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep05,RTC-T512,512,"Phase C (Read Recovery)",0.6943,100000,144022.8403,1.3467,330.9305,0.0000,330.9305,138.7933,0.0000,88.2117,38
rtp_mc_v2a_rep05,RTP-MC-V2A,0,"Phase A (Read Sensitive)",0.4418,100000,226352.3206,0.7384,300.8992,0.0000,300.8992,243.5448,0.0000,50.4539,29
rtp_mc_v2a_rep05,RTP-MC-V2A,0,"Phase B (Write Burst)",1.3912,100000,71880.4997,3.7106,1359.6310,0.0000,1359.6310,1076.0739,0.0000,146.3950,32
rtp_mc_v2a_rep05,RTP-MC-V2A,0,"Phase B-Inject (20% Window)",0.2782,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep05,RTP-MC-V2A,0,"Phase B-PostBurst (80% Window)",1.1130,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep05,RTP-MC-V2A,0,"Phase C (Read Recovery)",0.8364,100000,119553.9948,1.6108,506.6836,0.0000,506.6836,346.7369,0.0000,96.1379,38
