monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2978184672790,PHASE_B,100317,62,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2978184675195,PHASE_B,100639,127,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2978184675210,PHASE_B,100639,127,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2978184675268,PHASE_B,100650,129,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",40,0,0,"{L0:2}","{L0:2}",""
2978184675616,PHASE_B,100708,141,MERGE_DONE,0,0,0,"","3","","1","","2","","128",40,364,363,"","",""
2978184675643,PHASE_B,100708,141,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",40,394,392,"{L0:2}","{L1:1}",""
2978184677532,PHASE_B,100955,190,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2978184679938,PHASE_B,101276,255,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2978184679951,PHASE_B,101276,255,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2978184680038,PHASE_B,101298,258,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",81,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2978184680155,PHASE_B,101315,262,MERGE_DONE,0,0,0,"","6","","1","","2","","128",81,124,123,"","",""
2978184680160,PHASE_B,101317,262,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",81,128,127,"{L0:2, L1:1}","{L1:2}",""
2978184680166,PHASE_B,101319,262,MERGE_SUBMIT,6,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2978184680181,PHASE_B,101320,262,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",13,0,0,"{L1:2}","{L1:2}",""
2978184680378,PHASE_B,101333,266,MERGE_DONE,0,0,0,"","7","","2","","4","","256",13,202,201,"","",""
2978184680382,PHASE_B,101333,266,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",13,205,204,"{L1:2}","{L2:1}",""
2978184682635,PHASE_B,101601,319,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2978184685065,PHASE_B,101919,383,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2978184685076,PHASE_B,101919,383,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2978184685091,PHASE_B,101926,384,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",11,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2978184685198,PHASE_B,101937,386,MERGE_DONE,0,0,0,"","10","","1","","2","","128",11,105,104,"","",""
2978184685202,PHASE_B,101937,386,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",11,115,115,"{L0:2, L2:1}","{L1:1, L2:1}",""
2978184687656,PHASE_B,102239,447,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2978184690094,PHASE_B,102559,510,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2978184690105,PHASE_B,102559,510,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2978184690114,PHASE_B,102559,510,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",5,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2978184690185,PHASE_B,102569,513,MERGE_DONE,0,0,0,"","13","","1","","2","","128",5,75,74,"","",""
2978184690189,PHASE_B,102569,513,MERGE_PUBLISH,0,3,32,"","13","","1","","2","","128",5,78,78,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2978184690193,PHASE_B,102569,513,MERGE_SUBMIT,1,3,32,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2978184690214,PHASE_B,102569,513,MERGE_START,0,3,32,"[10,13]","","[1,1]","","[2,2]","","[128,128]","",16,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2978184690460,PHASE_B,102609,519,MERGE_DONE,0,0,0,"","14","","2","","4","","256",16,251,251,"","",""
2978184690465,PHASE_B,102609,519,MERGE_PUBLISH,0,2,32,"","14","","2","","4","","256",16,256,255,"{L1:2, L2:1}","{L2:2}",""
2978184690470,PHASE_B,102609,519,MERGE_SUBMIT,8,2,32,"","","","","","","","",0,0,0,"{L2:2}","{L2:2}",""
2978184690552,PHASE_B,102615,522,MERGE_START,0,2,32,"[7,14]","","[2,2]","","[4,4]","","[256,256]","",66,0,0,"{L2:2}","{L2:2}",""
2978184690943,PHASE_B,102675,533,MERGE_DONE,0,0,0,"","15","","3","","8","","512",66,407,406,"","",""
2978184690947,PHASE_B,102675,533,MERGE_PUBLISH,0,1,32,"","15","","3","","8","","512",66,411,411,"{L2:2}","{L3:1}",""
2978184692641,PHASE_B,102882,575,SEAL,0,2,32,"","16","","0","","1","","64",0,0,0,"{L3:1}","{L0:1, L3:1}",""
2978184695120,PHASE_B,103192,636,SEAL,0,3,32,"","17","","0","","1","","64",0,0,0,"{L0:1, L3:1}","{L0:2, L3:1}",""
2978184695135,PHASE_B,103192,636,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2978184695144,PHASE_B,103194,637,MERGE_START,0,3,32,"[16,17]","","[0,0]","","[1,1]","","[64,64]","",6,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2978184695221,PHASE_B,103211,641,MERGE_DONE,0,0,0,"","18","","1","","2","","128",6,81,80,"","",""
2978184695224,PHASE_B,103211,641,MERGE_PUBLISH,0,2,32,"","18","","1","","2","","128",6,84,83,"{L0:2, L3:1}","{L1:1, L3:1}",""
2978184697709,PHASE_B,103522,702,SEAL,0,3,32,"","19","","0","","1","","64",0,0,0,"{L1:1, L3:1}","{L0:1, L1:1, L3:1}",""
2978184700281,PHASE_B,103840,766,SEAL,0,4,32,"","20","","0","","1","","64",0,0,0,"{L0:1, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2978184700292,PHASE_B,103840,766,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2978184700302,PHASE_B,103840,766,MERGE_START,0,4,32,"[19,20]","","[0,0]","","[1,1]","","[64,64]","",6,0,0,"{L0:2, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2978184700398,PHASE_B,103858,770,MERGE_DONE,0,0,0,"","21","","1","","2","","128",6,100,100,"","",""
2978184700403,PHASE_B,103858,770,MERGE_PUBLISH,0,3,32,"","21","","1","","2","","128",6,104,103,"{L0:2, L1:1, L3:1}","{L1:2, L3:1}",""
2978184700408,PHASE_B,103858,770,MERGE_SUBMIT,2,3,32,"","","","","","","","",0,0,0,"{L1:2, L3:1}","{L1:2, L3:1}",""
2978184700437,PHASE_B,103858,770,MERGE_START,0,3,32,"[18,21]","","[1,1]","","[2,2]","","[128,128]","",29,0,0,"{L1:2, L3:1}","{L1:2, L3:1}",""
2978184700673,PHASE_B,103885,776,MERGE_DONE,0,0,0,"","22","","2","","4","","256",29,237,237,"","",""
2978184700676,PHASE_B,103885,776,MERGE_PUBLISH,0,2,32,"","22","","2","","4","","256",29,240,240,"{L1:2, L3:1}","{L2:1, L3:1}",""
2978184702943,PHASE_B,104166,830,SEAL,0,3,32,"","23","","0","","1","","64",0,0,0,"{L2:1, L3:1}","{L0:1, L2:1, L3:1}",""
2978184705402,PHASE_B,104475,895,SEAL,0,4,32,"","24","","0","","1","","64",0,0,0,"{L0:1, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2978184705419,PHASE_B,104475,895,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2978184705486,PHASE_B,104489,897,MERGE_START,0,4,32,"[23,24]","","[0,0]","","[1,1]","","[64,64]","",58,0,0,"{L0:2, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2978184705617,PHASE_B,104515,901,MERGE_DONE,0,0,0,"","25","","1","","2","","128",58,139,139,"","",""
2978184705624,PHASE_B,104515,901,MERGE_PUBLISH,0,3,32,"","25","","1","","2","","128",58,145,144,"{L0:2, L2:1, L3:1}","{L1:1, L2:1, L3:1}",""
2978184707798,PHASE_B,104800,957,SEAL,0,4,32,"","26","","0","","1","","64",0,0,0,"{L1:1, L2:1, L3:1}","{L0:1, L1:1, L2:1, L3:1}",""
2978184710236,PHASE_B,105116,1021,SEAL,0,5,32,"","27","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2978184710248,PHASE_B,105116,1021,MERGE_SUBMIT,0,5,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2978184710319,PHASE_B,105129,1026,MERGE_START,0,5,32,"[26,27]","","[0,0]","","[1,1]","","[64,64]","",55,0,0,"{L0:2, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2978184710395,PHASE_B,105145,1029,MERGE_DONE,0,0,0,"","28","","1","","2","","128",55,92,81,"","",""
2978184710400,PHASE_B,105145,1029,MERGE_PUBLISH,0,4,32,"","28","","1","","2","","128",55,96,84,"{L0:2, L1:1, L2:1, L3:1}","{L1:2, L2:1, L3:1}",""
2978184710406,PHASE_B,105146,1029,MERGE_SUBMIT,5,4,32,"","","","","","","","",0,0,0,"{L1:2, L2:1, L3:1}","{L1:2, L2:1, L3:1}",""
2978184710464,PHASE_B,105146,1029,MERGE_START,0,4,32,"[25,28]","","[1,1]","","[2,2]","","[128,128]","",59,0,0,"{L1:2, L2:1, L3:1}","{L1:2, L2:1, L3:1}",""
2978184710662,PHASE_B,105182,1036,MERGE_DONE,0,0,0,"","29","","2","","4","","256",59,199,199,"","",""
2978184710666,PHASE_B,105184,1036,MERGE_PUBLISH,0,3,32,"","29","","2","","4","","256",59,202,202,"{L1:2, L2:1, L3:1}","{L2:2, L3:1}",""
2978184710669,PHASE_B,105184,1036,MERGE_SUBMIT,12,3,32,"","","","","","","","",0,0,0,"{L2:2, L3:1}","{L2:2, L3:1}",""
2978184710695,PHASE_B,105187,1036,MERGE_START,0,3,32,"[22,29]","","[2,2]","","[4,4]","","[256,256]","",25,0,0,"{L2:2, L3:1}","{L2:2, L3:1}",""
2978184711066,PHASE_B,105243,1047,MERGE_DONE,0,0,0,"","30","","3","","8","","512",25,372,372,"","",""
2978184711070,PHASE_B,105243,1047,MERGE_PUBLISH,0,2,32,"","30","","3","","8","","512",25,375,375,"{L2:2, L3:1}","{L3:2}",""
2978184711072,PHASE_B,105243,1047,MERGE_SUBMIT,24,2,32,"","","","","","","","",0,0,0,"{L3:2}","{L3:2}",""
