rep,seed,t0_phase_b_nat_iops,t0_phase_b_amtv_iops,t0_phase_b_iops_ratio,t0_phase_b_nat_sec,t0_phase_b_amtv_sec,t0_phase_b_sec_diff,t0_phase_b_sec_ratio,t0_overall_iops_ratio,t512_phase_b_nat_iops,t512_phase_b_amtv_iops,t512_phase_b_iops_ratio,t512_overall_iops_ratio
1,610001,3426.23,34397.3,10.039401908219823,29.1866,2.9072,26.2794,10.039419372592185,8.877379555860173,49722.1,46646.4,0.9381421943160084,0.9451961088775673
2,620001,3454.55,37372.6,10.818369975828977,28.9473,2.67576,26.271539999999998,10.818346936945018,9.602111767652653,41730.1,60888.3,1.45909786940362,1.281722704368614
3,630001,3373.81,38525,11.418841013572193,29.6401,2.59572,27.04438,11.418835621715747,10.045386870485466,49206.1,51248.9,1.0415151779962242,1.0440224191716208
4,640001,3342.38,36882.4,11.034771629796731,29.9188,2.71132,27.20748,11.034772730625672,9.672720141341406,44971.2,46331.7,1.0302526950581705,1.0325257927989655
5,650001,3352.52,39060.4,11.651056518678487,29.8283,2.56013,27.268169999999998,11.65108803068594,10.311036636909476,48524.9,50784.8,1.0465719661452162,1.0492411564192285
