config,phase_a_iops_mean,phase_a_iops_std,phase_a_iops_median,phase_a_iops_iqr,phase_b_iops_mean,phase_b_iops_std,phase_b_iops_median,phase_b_iops_iqr,phase_b_sec_mean,phase_b_sec_std,phase_b_sec_median,phase_b_sec_iqr,phase_c_iops_mean,phase_c_iops_std,phase_c_iops_median,phase_c_iops_iqr,overall_iops_mean,overall_iops_std,overall_iops_median,overall_iops_iqr,flushes_mean,flushed_tb_mean,active_tb_mean,three_win_flush_mb_mean,three_win_comp_write_mb_mean,waf_mean,waf_std
Native-T0,482777.4,33733.5692365928,498502.0,63005.0,3389.898,43.39076924876999,3373.81,73.71000000000004,29.504219999999997,0.37587501858995703,29.6401,0.6417000000000002,385268.2,11613.862585720566,387779.0,12574.0,10010.98593396715,131.17517086101785,9969.433384927366,230.06615115867498,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
Native-T512,505798.0,23379.65515571177,510268.0,8094.0,46830.88,3044.5654273804007,48524.9,4234.9000000000015,2.1448500000000004,0.14633387700734238,2.0608,0.1913800000000001,353720.0,11684.308178065143,350460.0,11326.0,114562.6620448321,5957.599313918693,117566.6524541647,7077.366749722307,39.0,19984.8,15.2,1.540998649597168,47.8065071105957,3.3687897265624995,0.302907065297998
AMTV-T0,484252.2,41860.97492605732,457624.0,40861.0,37247.53999999999,1624.2660319048716,37372.6,1642.5999999999985,2.6900260000000005,0.121316191763507,2.67576,0.11560000000000015,510661.6,56588.90356456821,475262.0,87957.0,97085.14793677375,4224.226141111741,97969.6124387445,4714.64428284482,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
AMTV-T512,513602.4,39181.931650187944,502655.0,46726.0,51180.02,5262.53856970189,50784.8,4602.5,1.9729679999999998,0.18619408136672877,1.96909,0.1925300000000001,345276.0,51775.4824023881,347151.0,42927.0,122048.8025277907,7143.847021770359,123355.77037734531,8668.215879459764,38.0,19504.2,495.8,1.518271255493164,42.41832237243652,2.999404791666667,0.05625098667508177
