config,phase_id,phase_name,op_name,count,p50_us_mean,p50_us_median,p50_us_iqr,p95_us_mean,p99_us_mean,p99_us_median,p99_us_iqr,p999_us_mean,max_us_mean,avg_us_mean,ret_keys_total,avg_returned_keys,scan_cost_per_key_us
AMTV-T0,0,Phase A (Baseline),GetLive,70000,6.4792000000000005,6.511,0.1670000000000007,17.812199999999997,23.4586,22.695,0.777000000000001,39.7992,146.07620000000003,8.072078000000001,0,0.0,0.0
AMTV-T0,0,Phase A (Baseline),Put,20000,11.3792,11.381,0.16999999999999993,20.6826,26.956599999999998,26.808,0.9170000000000016,64.455,274.4348,12.207939999999999,0,0.0,0.0
AMTV-T0,0,Phase A (Baseline),Scan-NonIntersect,5000,45.5176,45.312,0.7239999999999966,69.2668,84.9226,79.42,7.811999999999998,118.3208,177.12800000000001,48.57656,500000,100.0,0.4857656
AMTV-T0,0,Phase A (Baseline),Scan-PlannedIntersect,5000,62.8014,63.224,0.5559999999999974,129.5644,162.959,154.2,13.311000000000007,210.50699999999998,260.9756,71.18625999999999,500000,100.0,0.7118625999999999
AMTV-T0,1,Phase B (Dynamic Injection),DeleteRange,20000,44.286,44.466,1.757000000000005,149.708,227.67579999999998,229.823,18.22199999999998,326.4108,419.76239999999996,58.38324,0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),GetLive,40000,9.6102,9.669,0.07699999999999996,19.784399999999998,27.5774,27.574,0.3949999999999996,53.370799999999996,247.69520000000003,10.72138,0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),Put,30000,13.2374,13.037,0.7029999999999994,108.45360000000001,188.7176,194.42,12.221000000000004,285.3232,408.3728,29.61692,0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),Scan-Intersect,5000,1787.5760000000002,1786.96,40.590000000000146,3367.34,3726.6639999999998,3697.16,59.620000000000346,4632.389999999999,5136.7880000000005,1800.7839999999997,250000,50.0,36.015640000000005
AMTV-T0,1,Phase B (Dynamic Injection),Scan-NonIntersect,5000,1797.218,1792.69,17.659999999999854,3356.6580000000004,3691.172,3690.42,152.67999999999984,4682.022,5658.88,1802.182,500000,100.0,18.021819999999998
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),GetLive,80000,7.768800000000001,7.552,0.25899999999999945,14.441400000000002,19.750999999999998,20.507,3.030000000000001,28.8122,83.8798,8.137495999999999,0,0.0,0.0
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),Put,10000,10.5134,10.667,1.1639999999999997,21.0228,27.517599999999998,28.127,5.510999999999999,41.3144,74.442,11.780439999999999,0,0.0,0.0
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),Scan-Intersect,5000,54.7984,55.39,3.0989999999999966,82.74980000000001,103.57159999999999,106.368,14.265,902.017,1052.6972,58.90634,250000,50.0,1.1781259999999998
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),Scan-NonIntersect,5000,50.824200000000005,50.907,1.8290000000000006,77.57820000000001,97.399,99.616,16.321000000000012,130.759,893.2149999999999,54.3446,500000,100.0,0.543446
