elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
63.39,phase_a,0,17,4561063429,7,1841
63.39,phase_a,1,0,0,0,0
63.39,phase_a,2,0,0,0,0
63.39,phase_a,3,0,0,0,0
63.39,phase_a,4,0,0,0,0
63.39,phase_a,5,20,2309352979,0,0
63.39,phase_a,6,7,454794044,0,0
174.20,phase_b,0,12,3748354599,12,5112
174.20,phase_b,1,0,0,0,0
174.20,phase_b,2,0,0,0,0
174.20,phase_b,3,0,0,0,0
174.20,phase_b,4,22,2682326494,9,3283
174.20,phase_b,5,14,1589584487,11,4048
174.20,phase_b,6,109,7312000136,0,0
359.79,phase_c,0,5,1388471131,5,25843
359.79,phase_c,1,0,0,0,0
359.79,phase_c,2,0,0,0,0
359.79,phase_c,3,0,0,0,0
359.79,phase_c,4,21,2277563040,3,637
359.79,phase_c,5,35,4035197705,6,1626
359.79,phase_c,6,224,14494351603,0,0
506.09,phase_d,0,10,2640757786,0,0
506.09,phase_d,1,0,0,0,0
506.09,phase_d,2,0,0,0,0
506.09,phase_d,3,0,0,0,0
506.09,phase_d,4,27,3101588425,9,4164
506.09,phase_d,5,19,1662748509,10,4409
506.09,phase_d,6,288,18342080352,0,0
1108.53,COOLDOWN_FINAL,0,0,0,0,0
1108.53,COOLDOWN_FINAL,1,0,0,0,0
1108.53,COOLDOWN_FINAL,2,0,0,0,0
1108.53,COOLDOWN_FINAL,3,0,0,0,0
1108.53,COOLDOWN_FINAL,4,3,245949487,0,0
1108.53,COOLDOWN_FINAL,5,27,1869917436,8,1327
1108.53,COOLDOWN_FINAL,6,331,20945559734,0,0
