elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
249.79,flush,952,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001158.sst,0,64274198,61517,0
250.64,flush,955,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001161.sst,0,63190038,60480,0
252.05,flush,958,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001164.sst,0,63785572,61050,0
253.40,flush,961,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001167.sst,0,61417042,58782,0
253.43,compaction,949,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001155.sst,0,807410110,766985,6709
254.07,flush,965,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001171.sst,0,60880906,58269,0
254.96,compaction,962,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001169.sst,0,253890789,241188,641
254.97,flush,968,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001174.sst,0,56455617,54033,0
255.78,flush,972,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001177.sst,0,64773673,61996,0
256.76,flush,974,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001181.sst,0,64762596,61985,0
256.83,compaction,785,kCompaction,0,4,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000972.sst,0,8514216952,8090775,588528
256.84,compaction,978,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001007.sst,0,0,0,0
256.85,compaction,979,kCompaction,4,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/001018.sst,0,0,0,0
