elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
64.94,phase_a,0,19,4197618269,0,0
64.94,phase_a,1,0,0,0,0
64.94,phase_a,2,0,0,0,0
64.94,phase_a,3,0,0,0,0
64.94,phase_a,4,0,0,0,0
64.94,phase_a,5,22,2537304698,0,0
64.94,phase_a,6,10,582012567,0,0
183.81,phase_b,0,15,5638563253,0,0
183.81,phase_b,1,0,0,0,0
183.81,phase_b,2,0,0,0,0
183.81,phase_b,3,0,0,0,0
183.81,phase_b,4,27,3282161775,0,0
183.81,phase_b,5,6,595789585,0,0
183.81,phase_b,6,95,6304006062,0,0
370.98,phase_c,0,14,6294680333,0,0
370.98,phase_c,1,0,0,0,0
370.98,phase_c,2,0,0,0,0
370.98,phase_c,3,0,0,0,0
370.98,phase_c,4,62,7531052653,0,0
370.98,phase_c,5,12,1144102675,0,0
370.98,phase_c,6,154,10249102435,0,0
563.30,phase_d,0,8,3779804588,0,0
563.30,phase_d,1,0,0,0,0
563.30,phase_d,2,0,0,0,0
563.30,phase_d,3,0,0,0,0
563.30,phase_d,4,53,6390821058,0,0
563.30,phase_d,5,36,3565637614,0,0
563.30,phase_d,6,262,17874350720,0,0
1165.49,COOLDOWN_FINAL,0,0,0,0,0
1165.49,COOLDOWN_FINAL,1,0,0,0,0
1165.49,COOLDOWN_FINAL,2,0,0,0,0
1165.49,COOLDOWN_FINAL,3,0,0,0,0
1165.49,COOLDOWN_FINAL,4,3,183095388,0,0
1165.49,COOLDOWN_FINAL,5,42,2654858342,0,0
1165.49,COOLDOWN_FINAL,6,396,26638508996,0,0
