elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
50.08,phase_a,0,16,3938095662,11,1929
50.08,phase_a,1,0,0,0,0
50.08,phase_a,2,0,0,0,0
50.08,phase_a,3,0,0,0,0
50.08,phase_a,4,0,0,0,0
50.08,phase_a,5,21,2637883210,0,0
50.08,phase_a,6,9,709242313,0,0
157.58,phase_b,0,15,3044415460,15,4168
157.58,phase_b,1,0,0,0,0
157.58,phase_b,2,0,0,0,0
157.58,phase_b,3,0,0,0,0
157.58,phase_b,4,15,1578285627,7,3488
157.58,phase_b,5,11,1152425865,11,3927
157.58,phase_b,6,142,9348340681,0,0
385.99,phase_c,0,9,51356338,9,1614
385.99,phase_c,1,0,0,0,0
385.99,phase_c,2,0,0,0,0
385.99,phase_c,3,0,0,0,0
385.99,phase_c,4,4,244033966,4,3587
385.99,phase_c,5,30,2043079824,18,10817
385.99,phase_c,6,262,16594784318,0,0
506.43,phase_d,0,5,1630457887,0,0
506.43,phase_d,1,0,0,0,0
506.43,phase_d,2,0,0,0,0
506.43,phase_d,3,0,0,0,0
506.43,phase_d,4,15,1658705224,5,939
506.43,phase_d,5,23,2121110456,9,4754
506.43,phase_d,6,303,19077407926,0,0
1108.70,COOLDOWN_FINAL,0,1,63514928,0,0
1108.70,COOLDOWN_FINAL,1,0,0,0,0
1108.70,COOLDOWN_FINAL,2,0,0,0,0
1108.70,COOLDOWN_FINAL,3,0,0,0,0
1108.70,COOLDOWN_FINAL,4,4,259948106,0,0
1108.70,COOLDOWN_FINAL,5,24,1927097876,6,1506
1108.70,COOLDOWN_FINAL,6,337,20997771819,0,0
