config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,2,2,False,4,2026-09-07 22:33:10.884141,1788791590884141,Memtable Max Range Deletions,512,1024,224981,50942,foreground
Native-T512,2,3,False,7,2026-09-07 22:33:10.904063,1788791590904063,Memtable Max Range Deletions,512,1536,236867,52190,foreground
Native-T512,2,4,False,8,2026-09-07 22:33:10.922948,1788791590922948,Memtable Max Range Deletions,512,2048,236584,52174,foreground
Native-T512,2,5,False,9,2026-09-07 22:33:10.948365,1788791590948365,Memtable Max Range Deletions,514,2562,244026,52960,foreground
Native-T512,2,6,False,11,2026-09-07 22:33:10.968210,1788791590968210,Memtable Max Range Deletions,513,3075,239739,52650,foreground
Native-T512,2,7,False,12,2026-09-07 22:33:10.995292,1788791590995292,Memtable Max Range Deletions,512,3587,243093,52849,foreground
Native-T512,2,8,False,13,2026-09-07 22:33:11.018541,1788791591018541,Memtable Max Range Deletions,512,4099,228094,51130,foreground
Native-T512,2,9,False,16,2026-09-07 22:33:11.041565,1788791591041565,Memtable Max Range Deletions,513,4612,231532,51639,foreground
Native-T512,2,10,False,18,2026-09-07 22:33:11.058900,1788791591058900,Memtable Max Range Deletions,512,5124,253847,54105,foreground
Native-T512,2,11,False,19,2026-09-07 22:33:11.089691,1788791591089691,Memtable Max Range Deletions,513,5637,235494,52005,foreground
Native-T512,2,12,False,22,2026-09-07 22:33:11.115397,1788791591115397,Memtable Max Range Deletions,512,6149,236584,52131,foreground
Native-T512,2,13,False,24,2026-09-07 22:33:11.141449,1788791591141449,Memtable Max Range Deletions,512,6661,236301,51991,foreground
Native-T512,2,14,False,27,2026-09-07 22:33:11.187579,1788791591187579,Memtable Max Range Deletions,512,7173,236301,52096,foreground
Native-T512,2,15,False,29,2026-09-07 22:33:11.227406,1788791591227406,Memtable Max Range Deletions,512,7685,235452,51997,foreground
Native-T512,2,16,False,30,2026-09-07 22:33:11.270374,1788791591270374,Memtable Max Range Deletions,513,8198,242569,52977,foreground
Native-T512,2,17,False,31,2026-09-07 22:33:11.310550,1788791591310550,Memtable Max Range Deletions,515,8713,248313,53758,foreground
Native-T512,2,18,False,34,2026-09-07 22:33:11.354976,1788791591354976,Memtable Max Range Deletions,512,9225,245074,53145,foreground
Native-T512,2,19,False,35,2026-09-07 22:33:11.401725,1788791591401725,Memtable Max Range Deletions,512,9737,240263,52531,foreground
Native-T512,2,20,False,36,2026-09-07 22:33:11.449987,1788791591449987,Memtable Max Range Deletions,512,10249,239980,52732,foreground
Native-T512,2,21,False,37,2026-09-07 22:33:11.497167,1788791591497167,Memtable Max Range Deletions,512,10761,233754,51815,foreground
Native-T512,2,22,False,39,2026-09-07 22:33:11.547514,1788791591547514,Memtable Max Range Deletions,512,11273,247055,53357,foreground
