config,phase_a_iops_mean,phase_a_iops_std,phase_b_iops_mean,phase_b_iops_std,phase_b_sec_mean,phase_b_sec_std,phase_c_iops_mean,phase_c_iops_std,flushes_mean,flushed_tb_mean,active_tb_mean
Native-T0,486300.3333333333,18237.14108320953,3274.9966666666664,75.84638349248353,30.551066666666667,0.7190435190043938,365730.3333333333,12365.403196912837,0.0,0.0,20000.0
Native-T512,506601.0,48959.849802329525,55239.333333333336,5601.990596406089,1.8291033333333333,0.18586984089828987,369731.6666666667,30736.002953467385,39.0,19981.666666666668,18.333333333333332
AMTV-T0,484847.3333333333,48476.47248809353,37345.4,987.6072228708451,2.6796,0.07166648496100986,551425.0,22885.88112060942,0.0,0.0,20000.0
AMTV-T512,477904.3333333333,28683.15731497416,60297.19999999999,13383.56479193791,1.7448566666666665,0.39415978285743736,341554.0,42201.214895624355,38.0,19502.666666666668,497.3333333333333
