config,phase_id,phase_name,operation,count,p50_us_mean,p50_us_std,p95_us_mean,p95_us_std,p99_us_mean,p99_us_std,p999_us_mean,p999_us_std,max_us_mean,max_us_std,avg_us_mean,avg_us_std,avg_returned_keys,scan_cost_per_key_us,mat_count_mean,mat_time_ms_mean,lock_contended_mean,lock_wait_ms_mean,reseeks_mean
AMTV-T0,0,Phase A (Baseline),GetLive,70000,6.382333333333334,0.09848970617390562,17.752333333333336,0.7210974660581994,22.448999999999998,0.8420752143761668,41.648666666666664,3.634991273105832,200.95833333333334,17.4958240795403,7.94849,0.13860050673308083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,0,Phase A (Baseline),Put,20000,10.844666666666669,0.26706595107243064,19.825666666666667,0.5199809825582297,26.44966666666667,0.6068329442459618,85.66666666666667,18.025028993658296,239.992,33.68044507821514,11.704166666666666,0.23077871556006976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,0,Phase A (Baseline),Scan-NonIntersect,5000,44.68066666666666,0.623702029996875,66.38033333333334,2.604066734082588,77.38233333333334,3.0301922197921503,112.95899999999999,22.86248614360797,155.11800000000002,58.905078496396776,47.518166666666666,0.9841481607066184,100.0,0.47518166666666667,0.0,0.0,0.0,0.0,0.0
AMTV-T0,0,Phase A (Baseline),Scan-PlannedIntersect,5000,61.57866666666666,1.3092100247435063,128.85299999999998,4.874128503298482,154.25566666666666,6.656721982744624,205.77266666666665,21.02461264539466,282.59633333333335,47.95329489085071,69.79623333333335,1.5363772807773755,100.0,0.6979623333333334,0.0,0.0,0.0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),DeleteRange,20000,47.967333333333336,1.0845353331675687,162.84400000000002,9.070222819754756,236.54033333333334,11.300905283304619,334.281,28.68362561927392,423.12166666666667,33.29264677906454,63.6275,2.114485433070342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),GetLive,40000,9.485666666666667,0.17458967768901906,19.686666666666667,0.17095873446211765,27.299999999999997,0.5896173900646656,54.211666666666666,2.7144611906519427,186.8313333333333,105.4835979108706,10.632600000000002,0.19708020363970255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),Put,30000,13.943333333333333,0.474945844866081,115.79699999999998,7.40897280329736,193.43066666666667,13.662850418399362,279.94166666666666,19.44238415307021,403.055,23.925645111469834,31.454866666666664,1.355020898567823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,1,Phase B (Dynamic Injection),Scan-Intersect,5000,1777.3333333333333,13.333632496643848,3363.273333333333,113.47898669895756,3876.8866666666668,143.9667031720259,5478.656666666666,425.8418662158787,6124.09,550.8894384538519,1769.6966666666667,7.835952753530035,50.0,35.393966666666664,3995.3333333333335,6949.683147,1001.0,1502.1654243333332,55643.333333333336
AMTV-T0,1,Phase B (Dynamic Injection),Scan-NonIntersect,5000,1763.0600000000002,35.07636906332619,3364.01,116.2178999408726,3860.64,110.09258558140965,5141.553333333333,1025.386826530467,6395.406666666667,1518.4287395491726,1758.243333333333,7.146721081882377,100.0,17.58243333333333,3967.6666666666665,6902.121705333333,1025.3333333333333,1506.330593,1.3333333333333333
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),GetLive,80000,7.964666666666666,0.14510992002233666,14.216333333333333,0.5830319221296738,19.886,1.0759928748215144,28.782666666666668,1.6298139634803588,146.59566666666666,70.58302048100678,8.15973,0.24418572112226342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),Put,10000,11.139333333333335,0.5780526696494785,21.788666666666668,1.5404645042612586,28.194333333333333,2.1711634873700514,50.303,9.775050997309428,87.812,13.914406946279339,12.274533333333332,0.6478088829962808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),Scan-Intersect,5000,54.822,1.8213974488470852,76.92966666666666,5.64850436448053,90.654,10.094954911571751,118.25666666666666,15.7486345298745,1271.1193333333333,1535.9618848155778,57.535266666666665,1.505951288130603,50.0,1.1507066666666665,0.0,0.0,1.0,3.2218586666666664,56697.333333333336
AMTV-T0,2,Phase C (Post-Injection Read-Dominant),Scan-NonIntersect,5000,50.31733333333333,1.6625236506254244,69.09,6.208232759811765,81.51433333333334,10.711854502787503,1174.7756666666667,1467.942604128725,1312.6746666666668,1583.3784063262397,53.17713333333333,1.1171361043111785,100.0,0.5317713333333334,0.3333333333333333,1.0500296666666666,1.3333333333333333,4.320503,0.0
AMTV-T512,0,Phase A (Baseline),GetLive,70000,6.375,0.1310292588190389,17.727333333333334,0.3351361249137757,22.526666666666667,0.14558006579046215,41.81433333333333,1.7492802964521006,184.10966666666664,29.29406789019844,7.994040000000001,0.12430216758635637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,0,Phase A (Baseline),Put,20000,10.884666666666666,0.09802153958300268,19.801333333333332,0.035705586242054915,26.322,0.8440130330747265,76.75533333333334,18.089290981744487,201.11666666666667,34.765227017172705,11.673933333333332,0.038737951531913964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,0,Phase A (Baseline),Scan-NonIntersect,5000,45.078333333333326,0.5816214882168241,67.85766666666667,0.8156610134663078,79.12766666666667,0.7321777258440891,136.76833333333335,33.26668123246175,219.79466666666667,37.57440804885982,48.0522,0.7415925610917812,100.0,0.48052199999999995,0.0,0.0,0.0,0.0,0.0
AMTV-T512,0,Phase A (Baseline),Scan-PlannedIntersect,5000,62.16433333333333,1.4354653910453183,129.46399999999997,0.5940824858552877,152.55266666666668,1.3510307998791982,198.3596666666667,7.147807791359685,376.69733333333335,72.17530883588621,70.13666666666667,1.2900412844384312,100.0,0.7013666666666668,0.0,0.0,0.0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),DeleteRange,20000,172.014,31.10811477197978,680.5106666666667,376.498620419193,1420.01,149.95748264091392,1922.513333333333,586.456592103987,2519.1300000000006,573.6022305279737,239.092,54.47763080384462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),GetLive,40000,20.250666666666664,6.610421939802498,52.062000000000005,14.579333958266638,69.61833333333333,16.586340772521893,105.62466666666667,23.015075078932256,674.615,327.68796049392273,23.824033333333336,6.5011118179038325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),Put,30000,124.26266666666668,22.98055202895604,533.7956666666668,269.8201401641883,1353.9833333333333,126.72828054104137,1804.61,454.1079081011472,2459.5699999999997,512.5836628948163,183.9623333333333,41.8421764438175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,1,Phase B (Dynamic Injection),Scan-Intersect,5000,219.61566666666667,55.238657244924255,449.3213333333333,130.8129144754277,541.195,140.97193402234362,752.967,133.0579794325266,7863.651000000001,5079.659070469395,239.8183333333333,56.90591015781128,50.0,4.796376666666666,3676.6666666666665,318.00524566666667,1108.6666666666667,89.17727066666667,41972.0
AMTV-T512,1,Phase B (Dynamic Injection),Scan-NonIntersect,5000,213.57766666666666,61.3344089525248,433.74933333333337,118.15413852628643,524.416,123.11673472224099,708.2533333333334,190.68993480575273,2930.215,2727.861832501175,230.81733333333332,59.11138388575324,100.0,2.3081733333333334,3667.3333333333335,314.7256133333333,1108.0,86.14799066666667,1.3333333333333333
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),GetLive,80000,10.716666666666667,0.2436997241597854,28.20266666666667,6.969642283184665,37.221333333333334,9.874928601710947,51.638,15.4170347559661,220.674,50.71457071361905,13.419233333333333,1.2968696319299884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),Put,10000,14.300666666666666,1.1807447743785369,35.313,11.027122048234826,395.141,506.77231134767675,736.4693333333333,964.1119509822958,903.7860000000001,1038.1048514249417,26.73096666666667,16.37941194718405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),Scan-Intersect,5000,72.68033333333334,7.006357224375269,172.648,46.34444228455734,243.71333333333334,81.93651414086123,311.134,105.81960609452297,385.86666666666673,136.8900649678014,87.17286666666666,6.903007557740483,50.0,1.74346,0.3333333333333333,0.041688333333333334,0.0,0.0,12309.333333333334
AMTV-T512,2,Phase C (Post-Injection Read-Dominant),Scan-NonIntersect,5000,80.078,2.315843834688914,178.9403333333333,59.71562137516632,228.88133333333334,64.94929184285914,290.9356666666667,99.57705675952111,380.22700000000003,160.21530182226667,94.31243333333335,9.225980336106417,100.0,0.9431243333333333,0.0,0.0,0.0,0.0,0.0
Native-T0,0,Phase A (Baseline),GetLive,70000,6.398,0.08960282733634378,18.209333333333333,0.6946199600421004,25.264,2.3225160207556526,43.506,2.144127017381821,201.362,79.35006110898718,8.145483333333333,0.04423560129830065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Native-T0,0,Phase A (Baseline),Put,20000,11.084000000000001,0.11717792738680163,20.262,0.14870104236352874,26.720666666666663,0.381497342352763,64.92166666666667,5.855519124913028,234.1773333333333,19.502999535683955,11.873,0.04426488450227811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Native-T0,0,Phase A (Baseline),Scan-NonIntersect,5000,45.35233333333333,1.32741863111161,70.453,1.8168854302532822,94.608,12.630224410780142,129.51066666666665,3.942990264028325,189.70766666666668,32.793108069972405,48.936933333333336,0.7819918769114889,100.0,0.4893693333333333,0.0,0.0,0.0,0.0,0.0
Native-T0,0,Phase A (Baseline),Scan-PlannedIntersect,5000,62.464,0.9564197126087829,136.26333333333332,1.5220653366031545,179.059,21.173963319762944,245.44600000000003,15.886798943357553,314.65833333333336,55.745104881255926,72.0072,0.11256023572588612,100.0,0.720072,0.0,0.0,0.0,0.0,0.0
Native-T0,1,Phase B (Dynamic Injection),DeleteRange,20000,116.61833333333334,0.47635584271517867,276.99766666666665,7.294336356988817,409.712,13.994852363160765,618.5133333333333,68.98904324762175,5328.57,3306.62621807586,132.166,4.1747216274461545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Native-T0,1,Phase B (Dynamic Injection),GetLive,40000,4246.746666666667,138.0110735492707,10907.733333333334,279.4636092390011,11899.733333333332,448.3658649907341,15284.0,2340.950119075586,18727.333333333332,3041.4704353139596,4653.496666666667,152.4204951952183,0.0,0.0,14114.666666666666,82008.28469,23570.666666666668,102004.98223166667,0.0
