round,rep,config,seed,get_live_ops,put_ops,delete_range_ops,scan_planned_intersect_ops,scan_intersect_ops,scan_non_intersect_ops,total_scan_ops,total_ops,scan_visible_keys,candidate_space_keys,final_live_keys,final_deleted_keys,trace_sha256,read_projection_sha256,write_projection_sha256,delete_geometry_sha256,state_sha256_actual,state_sha256_expected,audit_status
11,3,AMTV-T0,630001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,775630d795db3e31449aa3dd248140c4747698f075f8d3d013c7d85f52d82d86,461896ab0ca3f90fc5b0ec713b2a8f2c9f305e403d5dc7137fadc5e5a9eb3b7f,3e93c1caeaa6580c0d3c1c90e68a8f2dac309da89a989d256db8ff1bd8cab9c4,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,PASS
12,3,AMTV-T512,630001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,775630d795db3e31449aa3dd248140c4747698f075f8d3d013c7d85f52d82d86,461896ab0ca3f90fc5b0ec713b2a8f2c9f305e403d5dc7137fadc5e5a9eb3b7f,3e93c1caeaa6580c0d3c1c90e68a8f2dac309da89a989d256db8ff1bd8cab9c4,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,PASS
13,4,Native-T0,640001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,96def9cc9b6355e831d77d46e9ab8a119f472496b3fc06adafe9643ec521bd94,ba21dd83ad557ae2831cc0273a23c033230d23fd6be6130d05eefdfd19621dfe,4fed78e3ef404a2942c250a15309772562431864161167f5356fbf8cc8681aaf,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,PASS
14,4,Native-T512,640001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,96def9cc9b6355e831d77d46e9ab8a119f472496b3fc06adafe9643ec521bd94,ba21dd83ad557ae2831cc0273a23c033230d23fd6be6130d05eefdfd19621dfe,4fed78e3ef404a2942c250a15309772562431864161167f5356fbf8cc8681aaf,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,PASS
15,4,AMTV-T0,640001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,96def9cc9b6355e831d77d46e9ab8a119f472496b3fc06adafe9643ec521bd94,ba21dd83ad557ae2831cc0273a23c033230d23fd6be6130d05eefdfd19621dfe,4fed78e3ef404a2942c250a15309772562431864161167f5356fbf8cc8681aaf,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,PASS
16,4,AMTV-T512,640001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,96def9cc9b6355e831d77d46e9ab8a119f472496b3fc06adafe9643ec521bd94,ba21dd83ad557ae2831cc0273a23c033230d23fd6be6130d05eefdfd19621dfe,4fed78e3ef404a2942c250a15309772562431864161167f5356fbf8cc8681aaf,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,af12d73abfff4d37b6281f844da40f3fc52252a3482887d7c0c0c640263124fc,PASS
17,5,Native-T0,650001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,52e2e94da27cb9380c0cff6c049ba7c54b61b060ad5167c5c6e2351002df848c,a5c5a539a4a49cdcb46dce536870ea002cb4600f0c234e34a70a3a47e51c07b9,d4f45ad4995519285a5a1c5db048f3d160269f17b31c899ecf94def776e8581b,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,PASS
18,5,Native-T512,650001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,52e2e94da27cb9380c0cff6c049ba7c54b61b060ad5167c5c6e2351002df848c,a5c5a539a4a49cdcb46dce536870ea002cb4600f0c234e34a70a3a47e51c07b9,d4f45ad4995519285a5a1c5db048f3d160269f17b31c899ecf94def776e8581b,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,PASS
19,5,AMTV-T0,650001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,52e2e94da27cb9380c0cff6c049ba7c54b61b060ad5167c5c6e2351002df848c,a5c5a539a4a49cdcb46dce536870ea002cb4600f0c234e34a70a3a47e51c07b9,d4f45ad4995519285a5a1c5db048f3d160269f17b31c899ecf94def776e8581b,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,PASS
20,5,AMTV-T512,650001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,52e2e94da27cb9380c0cff6c049ba7c54b61b060ad5167c5c6e2351002df848c,a5c5a539a4a49cdcb46dce536870ea002cb4600f0c234e34a70a3a47e51c07b9,d4f45ad4995519285a5a1c5db048f3d160269f17b31c899ecf94def776e8581b,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,229e12c5fb2fdd99fc147f088c30590423628234b458513f7e5b83215127d4bf,PASS
