config,phase,op_name,sample_count_per_rep,total_sample_count_5reps,metric,unit,rep1_raw,rep2_raw,rep3_raw,rep4_raw,rep5_raw,mean,sample_std,median,iqr,quantile_algorithm
AMTV-T512,Phase A,Scan-PlannedIntersect,5000,25000,P95,us,117.207,123.071,113.951,127.724,112.218,118.83419999999998,6.466191746306324,117.207,9.120000000000005,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-PlannedIntersect,5000,25000,P99,us,144.892,145.393,140.886,199.826,148.442,155.8878,24.708843582814634,145.393,3.5500000000000114,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-PlannedIntersect,5000,25000,P99.9,us,187.653,198.745,173.328,235.249,179.131,194.8212,24.54244452372257,187.653,19.614000000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-PlannedIntersect,5000,25000,Max,us,244.095,225.964,221.706,348.694,590.478,326.18739999999997,156.56973149622502,244.095,122.73000000000002,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-PlannedIntersect,5000,25000,Mean,us,69.4636,69.3388,69.2713,67.9712,66.6156,68.53209999999999,1.2300868709160349,69.2713,1.3676000000000101,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-NonIntersect,5000,25000,P50,us,45.796,44.855,46.466,43.585,44.467,45.0338,1.1274305743592377,44.855,1.3290000000000006,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-NonIntersect,5000,25000,P95,us,62.824,64.923,60.835,63.64,59.439,62.3322,2.1952600529322264,62.824,2.8049999999999997,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-NonIntersect,5000,25000,P99,us,73.725,75.813,70.549,108.1,74.673,80.572,15.512728676799576,74.673,2.088000000000008,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-NonIntersect,5000,25000,P99.9,us,92.019,100.763,97.28,136.655,100.778,105.499,17.781143340629136,100.763,3.4980000000000047,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
AMTV-T512,Phase A,Scan-NonIntersect,5000,25000,Max,us,108.732,128.904,114.823,193.545,146.434,138.4876,34.028359427101385,128.904,31.611000000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
