round,rep,config,seed,window,flush_output_bytes,compaction_read_bytes,compaction_write_bytes,flush_plus_comp_write_output_bytes,pwa,note
11,3,AMTV-T0,630001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
11,3,AMTV-T0,630001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
11,3,AMTV-T0,630001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
12,3,AMTV-T512,630001,Window 1 (Foreground Phase A-C),1593196,50190765,44669424,46262620,3.011889322916667,严格按完成事件时间归属
12,3,AMTV-T512,630001,Window 2 (10s Cooldown),0,0,0,0,0.0,严格按完成事件时间归属
12,3,AMTV-T512,630001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
12,3,AMTV-T512,630001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
12,3,AMTV-T512,630001,Three-Window Total,1593196,50190765,44669424,46262620,3.011889322916667,严格按完成事件时间归属
13,4,Native-T0,640001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
13,4,Native-T0,640001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
13,4,Native-T0,640001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
13,4,Native-T0,640001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
13,4,Native-T0,640001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
14,4,Native-T512,640001,Window 1 (Foreground Phase A-C),1616670,50317290,45137818,46754488,3.0439119791666664,严格按完成事件时间归属
14,4,Native-T512,640001,Window 2 (10s Cooldown),0,9843260,8675034,8675034,0.564780859375,严格按完成事件时间归属
14,4,Native-T512,640001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
14,4,Native-T512,640001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
14,4,Native-T512,640001,Three-Window Total,1616670,60160550,53812852,55429522,3.608692838541667,严格按完成事件时间归属
15,4,AMTV-T0,640001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
15,4,AMTV-T0,640001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
15,4,AMTV-T0,640001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
15,4,AMTV-T0,640001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
15,4,AMTV-T0,640001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
16,4,AMTV-T512,640001,Window 1 (Foreground Phase A-C),1592337,50530635,45337365,46929702,3.055319140625,严格按完成事件时间归属
16,4,AMTV-T512,640001,Window 2 (10s Cooldown),0,0,0,0,0.0,严格按完成事件时间归属
16,4,AMTV-T512,640001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
16,4,AMTV-T512,640001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
16,4,AMTV-T512,640001,Three-Window Total,1592337,50530635,45337365,46929702,3.055319140625,严格按完成事件时间归属
17,5,Native-T0,650001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
17,5,Native-T0,650001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
17,5,Native-T0,650001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
