elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
63.22,phase_a,0,17,2526068939,16,1840
63.22,phase_a,1,0,0,0,0
63.22,phase_a,2,0,0,0,0
63.22,phase_a,3,0,0,0,0
63.22,phase_a,4,0,0,0,0
63.22,phase_a,5,26,3314824258,0,0
63.22,phase_a,6,19,1302365325,0,0
196.32,phase_b,0,19,4526883399,19,6201
196.32,phase_b,1,0,0,0,0
196.32,phase_b,2,0,0,0,0
196.32,phase_b,3,0,0,0,0
196.32,phase_b,4,27,3328817066,11,4372
196.32,phase_b,5,5,507047269,5,1264
196.32,phase_b,6,107,6830419655,0,0
471.55,phase_c,0,17,73176600,17,2325
471.55,phase_c,1,0,0,0,0
471.55,phase_c,2,0,0,0,0
471.55,phase_c,3,0,0,0,0
471.55,phase_c,4,2,71872968,2,2180
471.55,phase_c,5,36,2266786092,25,14667
471.55,phase_c,6,259,16943339268,0,0
616.23,phase_d,0,15,2370671632,0,0
616.23,phase_d,1,0,0,0,0
616.23,phase_d,2,0,0,0,0
616.23,phase_d,3,0,0,0,0
616.23,phase_d,4,22,2283291113,0,0
616.23,phase_d,5,20,1437715371,7,3994
616.23,phase_d,6,285,18136761663,0,0
1219.64,COOLDOWN_FINAL,0,0,0,0,0
1219.64,COOLDOWN_FINAL,1,0,0,0,0
1219.64,COOLDOWN_FINAL,2,0,0,0,0
1219.64,COOLDOWN_FINAL,3,0,0,0,0
1219.64,COOLDOWN_FINAL,4,3,195533319,0,0
1219.64,COOLDOWN_FINAL,5,31,1939028759,5,999
1219.64,COOLDOWN_FINAL,6,327,20979306209,0,0
