exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
rtc_native_t512_rep01,PRELOAD,FLUSH,2,0.7140,"Write Buffer Full",59992993,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000009.sst"
rtc_native_t512_rep01,PRELOAD,FLUSH,3,1.5301,"Write Buffer Full",59992847,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000011.sst"
rtc_native_t512_rep01,PRELOAD,FLUSH,4,1.6282,"Manual Flush",15631877,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000013.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,5,0.3548,"Memtable Max Range Deletions",2172400,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000015.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,7,0.5782,"Memtable Max Range Deletions",2163216,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000018.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,8,0.7476,"Memtable Max Range Deletions",1632166,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000020.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,9,0.8340,"Memtable Max Range Deletions",1595846,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000023.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,10,0.9048,"Memtable Max Range Deletions",1413618,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000025.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,12,0.9766,"Memtable Max Range Deletions",1467084,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000028.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,13,1.0565,"Memtable Max Range Deletions",1459427,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000030.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,14,1.1155,"Memtable Max Range Deletions",1456733,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000032.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,16,1.1669,"Memtable Max Range Deletions",1466211,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-pilot-final/run-db/rtc_native_t512_rep01/000035.sst"
