exp_id,group_name,desc,threshold,range_tombstone_controller_enabled,range_tombstone_controller_observe_only,range_tombstone_controller_min_range_deletions,range_tombstone_controller_min_memtable_bytes,range_tombstone_controller_cooldown_micros,rtp_mc_mode,rtp_mc_windows,rtp_mc_seals,rtp_mc_conflicts,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,oracle_flush_wait_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,controller_fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,controller_total_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
e9_t0_noaudit,E9-T0-NOAUDIT,"E9 Dynamic Audit T0 Baseline Preflight (Audit Disabled)",0,0,1,512,8388608,1000000,disabled,0,0,0,500000,256,20.3285,20.1478,0.0000,14757.5704,14757.5704,10.9592,6699.6580,6429.2142,6626.9820,165.4566,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9462,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
e9_t0_noaudit,E9-T0-NOAUDIT,"E9 Dynamic Audit T0 Baseline Preflight (Audit Disabled)",0,0,1,512,8388608,1000000,disabled,0,0,0,500000,256,19.5146,19.3321,0.0000,15373.0829,15373.0829,9.5994,6527.3491,6248.6971,6444.8161,175.2606,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9488,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
