elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
54.42,phase_a,0,16,4299571419,0,0
54.42,phase_a,1,0,0,0,0
54.42,phase_a,2,0,0,0,0
54.42,phase_a,3,0,0,0,0
54.42,phase_a,4,0,0,0,0
54.42,phase_a,5,22,2539374124,0,0
54.42,phase_a,6,7,456013963,0,0
150.44,phase_b,0,13,4655406064,0,0
150.44,phase_b,1,0,0,0,0
150.44,phase_b,2,0,0,0,0
150.44,phase_b,3,0,0,0,0
150.44,phase_b,4,34,4091159719,0,0
150.44,phase_b,5,5,590969206,0,0
150.44,phase_b,6,95,6417954697,0,0
351.29,phase_c,0,16,6544373944,0,0
351.29,phase_c,1,0,0,0,0
351.29,phase_c,2,0,0,0,0
351.29,phase_c,3,0,0,0,0
351.29,phase_c,4,45,5803249595,0,0
351.29,phase_c,5,11,1175865433,0,0
351.29,phase_c,6,168,11281044611,0,0
539.41,phase_d,0,3,1570164058,0,0
539.41,phase_d,1,0,0,0,0
539.41,phase_d,2,0,0,0,0
539.41,phase_d,3,0,0,0,0
539.41,phase_d,4,34,3678710989,0,0
539.41,phase_d,5,39,3601455547,0,0
539.41,phase_d,6,322,21395854675,0,0
1144.01,COOLDOWN_FINAL,0,0,0,0,0
1144.01,COOLDOWN_FINAL,1,0,0,0,0
1144.01,COOLDOWN_FINAL,2,0,0,0,0
1144.01,COOLDOWN_FINAL,3,0,0,0,0
1144.01,COOLDOWN_FINAL,4,3,261780903,0,0
1144.01,COOLDOWN_FINAL,5,39,2555835942,0,0
1144.01,COOLDOWN_FINAL,6,394,26104337837,0,0
