exp_id,protocol_suite,group,main_duration_sec,total_ops,put_count,get_aff_count,get_del_count,get_ctrl_count,scan_count,del_range_count,del_range_logical_ratio_pct,del_range_active_rate_ops_per_sec,del_range_length_keys,cumulative_covered_keys_req,final_union_coverage_ratio_pct,final_logical_deleted_keys,del_range_rate_sec,get_rate_sec,scan_rate_sec,put_rate_sec,scan_us_per_key,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,data_scale_mb,value_size_bytes,block_cache_mb
p1_range_del_ratio_10pct_rep2,P1,p1_range_del_ratio_10pct,209.551,200000,9997,5397,93678,31007,40048,19873,9.936499999999999,94.83610195131496,100,1987300,79.9832,399916,94.83610195131496,620.7653506783552,191.11338051357427,47.70676350864468,344.475,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p1_range_del_ratio_10pct_rep3,P1,p1_range_del_ratio_10pct,202.054,200000,9997,5351,93645,31085,40048,19873,9.936499999999999,98.35489522602869,100,1987300,79.9832,399916,98.35489522602869,643.7932433903808,198.20444039712157,49.476872519227534,326.161,0.0,0.0,0.0,0,0,0,128.0,256,128.0
p6_d0_clean_rep1,P6,D0,60.0,10430242,521072,2607103,0,5212156,2089911,0,0.0,0.0,0,0,0.0,0,0.0,130320.98333333334,34831.85,8684.533333333333,2.882,765.0,377.0,644.0,0,0,0,1024.0,1024,128.0
p6_d0_clean_rep2,P6,D0,60.0,10442768,521678,2610306,0,5218524,2092260,0,0.0,0.0,0,0,0.0,0,0.0,130480.5,34871.0,8694.633333333333,2.88109,765.0,377.0,639.0,0,0,0,1024.0,1024,128.0
p6_d0_clean_rep3,P6,D0,60.0,10554870,527332,2638162,0,5274417,2114959,0,0.0,0.0,0,0,0.0,0,0.0,131876.31666666668,35249.316666666666,8788.866666666667,2.84601,771.0,377.0,696.0,0,0,0,1024.0,1024,128.0
p6_d1_static_rep1,P6,D1,60.0,10391737,519226,2597367,0,5192972,2082172,0,0.0,0.0,0,0,40.0,400000,0.0,129838.98333333334,34702.86666666667,8653.766666666666,2.89663,1655.0,994.0,651.0,0,400000,0,1024.0,1024,128.0
p6_d1_static_rep2,P6,D1,60.0,10517289,525367,2628776,0,5255805,2107341,0,0.0,0.0,0,0,40.0,400000,0.0,131409.68333333332,35122.35,8756.116666666667,2.8658,1439.0,901.0,651.0,0,400000,0,1024.0,1024,128.0
p6_d1_static_rep3,P6,D1,60.0,10467310,522996,2616454,0,5230538,2097322,0,0.0,0.0,0,0,40.0,400000,0.0,130783.2,34955.36666666667,8716.6,2.86763,1636.0,994.0,630.0,0,400000,0,1024.0,1024,128.0
p6_d2_dynamic_rep1,P6,D2,60.0,10037695,501391,2508041,0,5014030,2010233,4000,0.039849786230802986,100.0,100,400000,40.0,400000,66.66666666666667,125367.85,33503.88333333333,8356.516666666666,2.51552,1555.0,1170.0,594.0,0,274100,0,1024.0,1024,128.0
p6_d2_dynamic_rep2,P6,D2,60.0,9702629,484710,2424303,0,4846078,1943538,4000,0.04122593989732062,100.0,100,400000,40.0,400000,66.66666666666667,121173.01666666666,32392.3,8078.5,2.60171,1646.0,1170.0,606.0,0,274100,0,1024.0,1024,128.0
p6_d2_dynamic_rep3,P6,D2,60.0,9910555,495127,2476264,0,4950392,1984772,4000,0.04036100904540664,100.0,100,400000,40.0,400000,66.66666666666667,123777.6,33079.53333333333,8252.116666666667,2.54599,1549.0,1170.0,584.0,0,274100,0,1024.0,1024,128.0
