exp_id,rep,phase,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t512_r3,3,0,GetLive,58535,748.3986,6.54,59.6,108.2,864,14.7604,3981,0,4845,68.06,126.35,153.67,48.3401,244.3354,0.391069,314.1824,14.1648,0.5981,2.2585,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,GetDeleted,1465,12.0935,2.74,58.0,102.7,25,17.0648,102,0,127,67.04,115.65,141.94,1.2078,6.4744,0.635239,8.194,0.3721,0.0182,0.077,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,ScanIntersect,2651,161.9735,53.15,117.13,162.87,49,18.4836,192,0,241,120.59,184.64,233.57,3.2474,12.1849,0.095277,0.0,0.0,0.0,0.0,17.2948,0.2851,5.9841,6341,5096,142,142,0
e9_t512_r3,3,0,ScanNonIntersect,17349,1133.5086,57.06,115.02,160.81,259,14.9288,1209,0,1468,117.85,180.32,206.66,13.4872,72.6203,0.075965,0.0,0.0,0.0,0.0,99.1913,1.6537,38.9347,57,45,2,2,0
e9_t512_r3,3,0,Put,18800,260.2327,8.33,29.78,48.27,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,DeleteRange,1200,46.9394,31.3,55.02,77.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1200
e9_t512_r3,3,0,TOTAL_READS,80000,2055.9742,7.75,89.13,131.51,1197,14.9625,5484,0,6681,81.38,152.46,188.02,66.2826,335.615,0.195478,322.3764,14.537,0.6163,2.3355,116.4862,1.9388,44.9188,6398,5141,144,144,0
e9_t512_r3,3,0,TOTAL_ALL,100000,2363.1462,8.03,83.33,126.35,1197,11.97,5484,0,6681,81.38,152.46,188.02,66.2826,335.615,0.170069,322.3764,14.537,0.6163,2.3355,116.4862,1.9388,44.9188,6398,5141,144,144,1200
e9_t512_r3,3,1,GetLive,16858,968.2438,40.17,155.26,202.69,3127,185.4906,6193,0,9320,82.67,175.69,219.44,228.5434,433.9125,0.684183,684.7654,8.3278,0.9602,3.3424,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,GetDeleted,3142,149.6859,30.4,143.41,185.87,580,184.5958,1128,0,1708,73.11,158.59,206.79,41.0937,79.0719,0.802784,124.286,1.5485,0.1945,0.6691,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,ScanIntersect,6791,1132.0479,155.54,298.54,365.73,1081,159.1813,2576,0,3657,189.39,326.94,394.51,80.1743,179.4652,0.229354,0.0,0.0,0.0,0.0,273.6842,2.8358,55.9808,33277,17190,128,127,0
e9_t512_r3,3,1,ScanNonIntersect,3209,472.7422,135.22,267.53,345.69,464,144.5933,1326,0,1790,169.52,292.27,372.44,33.4664,91.0189,0.263326,0.0,0.0,0.0,0.0,130.9755,1.269,22.2709,90,58,0,0,0
e9_t512_r3,3,1,Put,64000,2051.6819,16.11,58.56,477.18,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,DeleteRange,6000,356.0613,43.36,90.98,857.35,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6000
e9_t512_r3,3,1,TOTAL_READS,30000,2722.7198,78.91,230.34,316.23,5252,175.0667,11223,0,16475,108.99,261.75,339.26,383.2778,783.4685,0.428522,809.0513,9.8763,1.1547,4.0115,404.6597,4.1048,78.2517,33367,17248,128,127,0
e9_t512_r3,3,1,TOTAL_ALL,100000,5130.463,21.21,172.31,323.2,5252,52.52,11223,0,16475,108.99,261.75,339.26,383.2778,783.4685,0.227415,809.0513,9.8763,1.1547,4.0115,404.6597,4.1048,78.2517,33367,17248,128,127,6000
