exp_id,rep,phase,worker_id,op_class,op_count,total_latency_ms,p50_us,p95_us,p99_us,materialized_ops,materialization_rate_per_1k,lock_contended_ops,both_count,materialization_or_lock_affected_reads,affected_p50_us,affected_p95_us,affected_p99_us,view_materialization_ms,lock_wait_ms,materialization_and_lock_ratio,active_mem_prep_ms,active_mem_lookup_ms,imm_mem_prep_ms,imm_mem_lookup_ms,active_mem_iter_construct_ms,imm_mem_iter_construct_ms,sst_iter_construct_ms,reseek_count,boundary_advance_count,child_next_count,covered_skip_count,cache_invalidation_count
e9_t512_r3,3,0,5,ScanIntersect,364,23.258,55.39,116.43,197.96,7,19.2308,28,0,35,122.36,215.62,246.96,0.6076,1.6094,0.09532,0.0,0.0,0.0,0.0,2.477,0.0378,0.8521,913,684,4,4,0
e9_t512_r3,3,0,5,ScanNonIntersect,2136,147.1215,60.62,119.43,158.3,16,7.4906,174,0,190,120.96,181.86,216.01,0.8821,9.4612,0.070305,0.0,0.0,0.0,0.0,12.0145,0.2032,5.0487,2,2,0,0,0
e9_t512_r3,3,0,5,Put,2350,34.5303,8.73,29.82,49.46,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,5,DeleteRange,150,5.1866,33.42,52.35,78.38,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150
e9_t512_r3,3,0,6,GetLive,7315,89.0434,6.15,58.39,106.83,43,5.8783,526,0,569,68.72,124.9,155.73,2.5632,32.7771,0.396889,37.8808,1.6831,0.0717,0.2758,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,6,GetDeleted,185,2.1591,2.61,86.68,108.46,2,10.8108,20,0,22,80.26,108.46,126.73,0.2084,1.4077,0.748481,1.6854,0.0487,0.0016,0.0071,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,6,ScanIntersect,347,19.765,50.39,111.86,145.07,5,14.4092,21,0,26,117.85,168.7,211.73,0.3826,1.4139,0.090889,0.0,0.0,0.0,0.0,2.0231,0.0383,0.7083,836,667,31,31,0
e9_t512_r3,3,0,6,ScanNonIntersect,2153,131.4077,52.54,107.93,147.46,15,6.967,157,0,172,113.09,161.4,187.57,0.7206,9.2685,0.076016,0.0,0.0,0.0,0.0,11.4825,0.2017,4.3725,5,5,1,1,0
e9_t512_r3,3,0,6,Put,2350,33.3374,7.92,30.98,47.89,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,6,DeleteRange,150,4.7411,29.46,55.29,71.27,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150
e9_t512_r3,3,0,7,GetLive,7331,96.3098,6.68,58.92,108.79,59,8.048,547,0,606,67.98,129.29,154.04,3.6276,32.714,0.377341,39.153,1.8238,0.0744,0.2823,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,7,GetDeleted,169,1.0054,2.7,25.06,68.85,3,17.7515,11,0,14,34.15,80.11,80.11,0.0448,0.4635,0.505537,0.5651,0.042,0.0025,0.0103,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,7,ScanIntersect,319,18.9166,52.54,110.05,148.0,1,3.1348,28,0,29,110.92,157.63,162.77,0.0698,1.5696,0.086667,0.0,0.0,0.0,0.0,1.8537,0.0369,0.6936,850,617,20,20,0
e9_t512_r3,3,0,7,ScanNonIntersect,2181,149.6761,57.86,120.01,173.99,20,9.1701,150,0,170,123.85,197.6,219.84,0.9746,9.5912,0.070591,0.0,0.0,0.0,0.0,12.2462,0.225,5.1298,7,5,0,0,0
e9_t512_r3,3,0,7,Put,2350,27.1515,8.73,30.6,52.35,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,0,7,DeleteRange,150,11.5992,32.83,55.73,77.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150
e9_t512_r3,3,1,0,GetLive,2110,134.8547,47.52,169.52,209.56,415,196.6825,759,0,1174,88.96,188.94,226.74,36.3063,53.3096,0.664537,92.922,1.1739,0.1405,0.4611,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,0,GetDeleted,390,21.2624,36.82,160.03,213.67,76,194.8718,134,0,210,84.09,176.01,232.3,6.9233,10.0772,0.799559,17.5864,0.2072,0.0256,0.0857,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,0,ScanIntersect,887,169.885,177.29,318.92,369.07,197,222.097,282,0,479,216.93,338.64,383.43,18.4666,20.1465,0.227289,0.0,0.0,0.0,0.0,40.7441,0.3989,8.7109,4022,2241,11,11,0
e9_t512_r3,3,1,0,ScanNonIntersect,363,62.9213,159.36,292.27,353.1,56,154.27,156,0,212,195.46,313.94,373.34,5.0204,10.0406,0.239363,0.0,0.0,0.0,0.0,15.9588,0.1758,3.0388,7,9,0,0,0
e9_t512_r3,3,1,0,Put,8000,270.5177,16.54,57.65,923.13,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,0,DeleteRange,750,48.9078,47.4,94.18,1053.49,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,750
e9_t512_r3,3,1,1,GetLive,2093,103.3872,37.02,134.73,182.63,445,212.6135,758,0,1203,71.44,152.65,195.46,21.5076,55.0529,0.740523,78.7268,0.7634,0.0832,0.3382,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,1,GetDeleted,407,15.847,22.85,124.38,157.91,100,245.7002,124,0,224,60.55,132.63,205.04,4.5401,8.7028,0.835672,13.6398,0.1499,0.0175,0.07,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,1,ScanIntersect,837,104.0629,111.19,230.62,295.48,134,160.0956,316,0,450,145.07,261.75,312.04,6.5989,23.1936,0.286293,0.0,0.0,0.0,0.0,31.0409,0.2876,4.7534,4052,2120,14,14,0
e9_t512_r3,3,1,1,ScanNonIntersect,413,47.9259,109.52,204.92,280.99,62,150.1211,177,0,239,134.65,241.63,286.83,3.3308,12.7375,0.335275,0.0,0.0,0.0,0.0,16.7165,0.1398,2.037,13,6,0,0,0
e9_t512_r3,3,1,1,Put,8000,220.8562,15.16,57.47,100.43,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,1,DeleteRange,750,36.5252,35.52,79.19,152.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,750
e9_t512_r3,3,1,2,GetLive,2083,106.5431,34.57,140.49,186.89,427,204.9928,724,0,1151,76.88,161.98,204.05,24.4715,52.182,0.71946,78.9093,0.8411,0.0968,0.3467,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,2,GetDeleted,417,19.5154,31.76,138.71,189.05,77,184.6523,161,0,238,69.44,150.9,216.01,4.5562,11.6277,0.829289,16.6642,0.1822,0.0316,0.0799,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,2,ScanIntersect,832,116.622,132.95,242.81,305.68,152,182.6923,313,0,465,165.26,280.99,322.22,8.2811,21.6921,0.257011,0.0,0.0,0.0,0.0,31.3934,0.3363,5.6272,4258,2210,19,19,0
e9_t512_r3,3,1,2,ScanNonIntersect,418,45.9951,100.36,203.31,243.54,59,141.1483,158,0,217,135.88,228.67,269.15,2.9468,10.5051,0.292463,0.0,0.0,0.0,0.0,14.0896,0.1296,2.173,9,8,0,0,0
e9_t512_r3,3,1,2,Put,8000,230.1187,15.54,57.58,107.74,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
e9_t512_r3,3,1,2,DeleteRange,750,38.979,38.11,84.19,136.21,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,750
