run_id,rep,phase,worker,op_id,op_class,latency_us,materialization_us,lock_wait_us,active_mem_prep_us,active_mem_lookup_us,sst_iter_construct_us
e9_t0_audit,1,0,0,1611,GetLive,42.15,35.88,0.00,37.50,0.15,0.00
e9_t0_audit,1,0,0,1638,GetLive,51.46,0.00,38.32,40.11,4.86,0.00
e9_t0_audit,1,0,0,1639,GetLive,48.25,0.00,42.72,43.44,0.36,0.00
e9_t0_audit,1,0,0,1649,ScanNonIntersect,94.45,0.00,44.38,0.00,0.00,1.57
e9_t0_audit,1,0,0,1650,GetLive,35.34,0.00,21.21,22.08,0.43,0.00
e9_t0_audit,1,0,0,1653,ScanNonIntersect,81.19,0.00,37.28,0.00,0.00,2.10
e9_t0_audit,1,0,0,1659,GetLive,33.94,0.00,25.75,27.21,0.44,0.00
e9_t0_audit,1,0,0,1724,GetLive,37.73,0.00,29.40,31.12,0.39,0.00
e9_t0_audit,1,0,0,1736,GetLive,56.87,0.00,40.76,42.44,0.50,0.00
e9_t0_audit,1,0,0,1750,ScanNonIntersect,123.60,0.00,40.75,0.00,0.00,1.80
e9_t0_audit,1,0,0,1765,GetLive,49.73,0.00,40.41,42.05,0.45,0.00
e9_t0_audit,1,0,0,1772,GetLive,47.43,37.05,0.00,38.83,0.16,0.00
e9_t0_audit,1,0,0,1779,ScanNonIntersect,120.83,0.00,41.23,0.00,0.00,6.77
e9_t0_audit,1,0,0,1781,GetLive,37.47,0.00,29.05,30.54,0.41,0.00
e9_t0_audit,1,0,0,1813,GetLive,45.53,38.69,0.00,40.85,0.14,0.00
e9_t0_audit,1,0,0,1822,GetLive,47.14,0.00,34.01,35.65,0.43,0.00
e9_t0_audit,1,0,0,1834,GetLive,36.22,0.00,28.50,29.45,0.31,0.00
e9_t0_audit,1,0,0,1836,GetLive,45.71,0.00,32.45,34.19,0.36,0.00
e9_t0_audit,1,0,0,1858,GetLive,61.72,0.00,49.06,50.54,0.40,0.00
e9_t0_audit,1,0,0,1860,GetLive,37.15,0.00,29.78,31.08,0.30,0.00
e9_t0_audit,1,0,0,1875,ScanNonIntersect,102.07,0.00,36.13,0.00,0.00,1.56
e9_t0_audit,1,0,0,1883,GetLive,52.15,0.00,39.31,40.08,0.42,0.00
e9_t0_audit,1,0,0,1935,GetLive,63.42,0.00,54.62,56.59,0.49,0.00
e9_t0_audit,1,0,0,1955,GetLive,49.09,41.70,0.00,43.61,0.19,0.00
e9_t0_audit,1,0,0,1980,GetLive,38.86,0.00,28.75,29.55,0.35,0.00
e9_t0_audit,1,0,0,1981,GetLive,58.34,0.00,51.78,53.38,0.31,0.00
e9_t0_audit,1,0,0,2010,GetLive,57.12,0.00,42.09,44.98,0.27,0.00
e9_t0_audit,1,0,0,2011,GetLive,46.98,40.32,0.00,41.81,0.17,0.00
e9_t0_audit,1,0,0,2014,GetLive,48.05,0.00,38.62,40.09,0.47,0.00
e9_t0_audit,1,0,0,2029,GetLive,40.15,0.00,33.17,34.65,0.33,0.00
e9_t0_audit,1,0,0,2042,GetLive,45.54,0.00,39.03,39.81,0.36,0.00
e9_t0_audit,1,0,0,2051,GetLive,58.32,0.00,42.65,44.34,0.36,0.00
e9_t0_audit,1,0,0,2052,ScanNonIntersect,74.55,0.00,23.10,0.00,0.00,1.85
e9_t0_audit,1,0,0,2055,GetLive,54.50,43.28,0.00,44.83,0.21,0.00
e9_t0_audit,1,0,0,2064,GetLive,48.13,37.75,0.00,39.08,0.20,0.00
e9_t0_audit,1,0,0,2073,ScanNonIntersect,96.14,35.99,0.00,0.00,0.00,1.74
e9_t0_audit,1,0,0,2082,GetLive,62.17,0.00,49.55,51.16,0.29,0.00
e9_t0_audit,1,0,0,2084,GetLive,43.52,0.00,35.47,37.07,0.47,0.00
e9_t0_audit,1,0,0,2105,ScanNonIntersect,98.30,0.00,42.24,0.00,0.00,1.86
e9_t0_audit,1,0,0,2110,GetLive,71.90,0.00,56.69,58.47,0.41,0.00
e9_t0_audit,1,0,0,2115,ScanNonIntersect,95.96,0.00,52.01,0.00,0.00,1.74
e9_t0_audit,1,0,0,2158,GetLive,54.35,0.00,47.74,48.57,0.29,0.00
e9_t0_audit,1,0,0,2174,GetLive,36.61,0.00,29.09,30.93,0.31,0.00
e9_t0_audit,1,0,0,2184,ScanNonIntersect,102.61,0.00,41.39,0.00,0.00,1.47
e9_t0_audit,1,0,0,2189,ScanNonIntersect,101.00,0.00,39.41,0.00,0.00,3.86
e9_t0_audit,1,0,0,2215,GetLive,62.87,0.00,53.30,55.19,0.50,0.00
e9_t0_audit,1,0,0,2219,GetLive,52.09,0.00,36.54,38.02,0.42,0.00
e9_t0_audit,1,0,0,2265,ScanNonIntersect,106.14,0.00,63.02,0.00,0.00,1.47
e9_t0_audit,1,0,0,2297,GetLive,54.01,0.00,47.89,49.58,0.41,0.00
e9_t0_audit,1,0,0,2306,GetLive,50.22,0.00,42.47,44.08,0.51,0.00
e9_t0_audit,1,0,0,2311,GetLive,53.74,47.55,0.00,49.06,0.18,0.00
e9_t0_audit,1,0,0,2365,ScanNonIntersect,99.35,0.00,45.06,0.00,0.00,2.00
e9_t0_audit,1,0,0,2383,ScanNonIntersect,91.68,0.00,48.20,0.00,0.00,1.90
e9_t0_audit,1,0,0,2393,GetLive,63.17,0.00,48.59,49.21,0.44,0.00
e9_t0_audit,1,0,0,2394,GetLive,47.38,0.00,35.44,36.17,0.30,0.00
e9_t0_audit,1,0,0,2406,GetLive,65.04,0.00,55.70,57.38,0.49,0.00
e9_t0_audit,1,0,0,2412,GetLive,41.41,0.00,28.43,29.12,0.37,0.00
e9_t0_audit,1,0,0,2423,GetLive,55.38,0.00,47.45,49.02,0.30,0.00
e9_t0_audit,1,0,0,2443,GetLive,39.19,0.00,32.33,33.14,0.32,0.00
e9_t0_audit,1,0,0,2466,GetLive,63.57,0.00,50.84,52.91,0.42,0.00
e9_t0_audit,1,0,0,2467,GetLive,49.15,0.00,41.69,43.13,0.54,0.00
e9_t0_audit,1,0,0,2477,GetLive,48.39,0.00,40.43,42.03,0.37,0.00
e9_t0_audit,1,0,0,2488,GetLive,53.56,0.00,44.66,46.32,0.51,0.00
e9_t0_audit,1,0,0,2491,GetLive,54.36,0.00,47.50,49.06,0.36,0.00
e9_t0_audit,1,0,0,2500,ScanNonIntersect,89.73,0.00,33.76,0.00,0.00,1.63
e9_t0_audit,1,0,0,2505,GetLive,64.52,0.00,56.68,58.42,0.37,0.00
e9_t0_audit,1,0,0,2507,GetLive,63.44,0.00,49.31,50.61,0.30,0.00
e9_t0_audit,1,0,0,2510,GetLive,57.18,0.00,42.40,44.00,0.33,0.00
e9_t0_audit,1,0,0,2524,GetLive,60.64,0.00,52.55,54.15,0.43,0.00
e9_t0_audit,1,0,0,2538,ScanNonIntersect,111.91,0.00,48.51,0.00,0.00,1.99
e9_t0_audit,1,0,0,2550,GetLive,61.60,0.00,54.27,55.76,0.40,0.00
e9_t0_audit,1,0,0,2553,ScanNonIntersect,114.81,0.00,32.80,0.00,0.00,1.89
e9_t0_audit,1,0,0,2555,GetLive,69.02,0.00,61.00,61.83,0.37,0.00
e9_t0_audit,1,0,0,2568,GetLive,62.95,0.00,54.78,56.65,0.47,0.00
e9_t0_audit,1,0,0,2590,GetLive,54.29,0.00,46.02,48.01,0.28,0.00
e9_t0_audit,1,0,0,2593,GetLive,60.49,0.00,52.32,53.95,0.33,0.00
e9_t0_audit,1,0,0,2596,GetLive,46.63,0.00,39.27,40.11,0.44,0.00
e9_t0_audit,1,0,0,2599,GetLive,34.91,0.00,26.53,27.26,0.51,0.00
e9_t0_audit,1,0,0,2602,GetLive,62.01,55.32,0.00,57.01,0.24,0.00
e9_t0_audit,1,0,0,2616,ScanNonIntersect,97.91,0.00,53.28,0.00,0.00,2.58
e9_t0_audit,1,0,0,2623,ScanNonIntersect,113.31,0.00,54.65,0.00,0.00,2.20
e9_t0_audit,1,0,0,2624,GetLive,44.32,0.00,36.62,37.48,0.35,0.00
e9_t0_audit,1,0,0,2662,GetLive,69.27,0.00,58.92,60.92,0.68,0.00
e9_t0_audit,1,0,0,2677,GetLive,77.46,0.00,67.85,69.69,0.45,0.00
e9_t0_audit,1,0,0,2703,ScanNonIntersect,82.55,0.00,34.78,0.00,0.00,2.05
e9_t0_audit,1,0,0,2711,ScanNonIntersect,131.95,0.00,57.66,0.00,0.00,2.82
e9_t0_audit,1,0,0,2712,GetLive,57.96,0.00,43.91,45.46,6.02,0.00
e9_t0_audit,1,0,0,2744,GetLive,61.75,0.00,52.34,54.12,0.40,0.00
e9_t0_audit,1,0,0,2747,GetLive,64.85,0.00,58.33,59.77,0.37,0.00
e9_t0_audit,1,0,0,2764,GetLive,74.40,61.75,0.00,64.05,0.20,0.00
e9_t0_audit,1,0,0,2778,GetLive,76.38,0.00,66.74,68.59,0.55,0.00
e9_t0_audit,1,0,0,2784,ScanNonIntersect,126.38,0.00,67.08,0.00,0.00,1.84
e9_t0_audit,1,0,0,2815,GetLive,73.06,61.49,0.00,63.54,0.28,0.00
e9_t0_audit,1,0,0,2819,ScanNonIntersect,98.92,0.00,42.82,0.00,0.00,3.39
e9_t0_audit,1,0,0,2831,GetLive,48.19,0.00,39.31,40.97,0.54,0.00
e9_t0_audit,1,0,0,2836,GetLive,70.38,0.00,62.87,64.57,0.45,0.00
e9_t0_audit,1,0,0,2856,GetLive,85.28,0.00,68.38,70.21,0.64,0.00
e9_t0_audit,1,0,0,2866,GetLive,56.82,0.00,39.26,41.01,0.44,0.00
e9_t0_audit,1,0,0,2892,GetLive,81.62,0.00,62.21,63.99,0.57,0.00
e9_t0_audit,1,0,0,2928,GetLive,62.94,55.29,0.00,57.27,0.17,0.00
e9_t0_audit,1,0,0,2942,GetLive,73.24,0.00,61.79,63.43,0.44,0.00
e9_t0_audit,1,0,0,2948,GetLive,88.53,0.00,79.64,81.37,0.41,0.00
e9_t0_audit,1,0,0,2956,GetLive,87.82,0.00,74.83,76.38,0.45,0.00
e9_t0_audit,1,0,0,2970,ScanNonIntersect,124.08,0.00,71.23,0.00,0.00,2.44
e9_t0_audit,1,0,0,2971,GetLive,73.28,0.00,64.78,66.22,0.35,0.00
e9_t0_audit,1,0,0,2983,ScanNonIntersect,106.65,0.00,60.72,0.00,0.00,1.67
e9_t0_audit,1,0,0,2988,GetLive,61.28,0.00,44.98,47.19,0.28,0.00
e9_t0_audit,1,0,0,2990,GetLive,55.54,0.00,47.61,48.50,0.40,0.00
e9_t0_audit,1,0,0,2993,GetLive,65.08,0.00,56.60,58.09,0.52,0.00
e9_t0_audit,1,0,0,2994,GetLive,63.19,0.00,55.69,56.85,0.43,0.00
e9_t0_audit,1,0,0,3014,ScanNonIntersect,115.52,0.00,67.08,0.00,0.00,2.25
e9_t0_audit,1,0,0,3022,GetLive,69.85,0.00,55.38,57.03,0.45,0.00
e9_t0_audit,1,0,0,3062,ScanNonIntersect,155.63,0.00,79.04,0.00,0.00,1.53
e9_t0_audit,1,0,0,3087,GetLive,78.98,0.00,68.91,71.51,0.54,0.00
e9_t0_audit,1,0,0,3093,GetLive,67.57,0.00,59.38,60.88,0.46,0.00
e9_t0_audit,1,0,0,3100,GetLive,74.34,0.00,67.28,68.82,0.42,0.00
e9_t0_audit,1,0,0,3108,GetLive,89.81,77.34,0.00,79.19,0.28,0.00
e9_t0_audit,1,0,0,3114,GetLive,64.73,0.00,56.35,58.17,0.39,0.00
e9_t0_audit,1,0,0,3129,GetLive,61.62,0.00,53.04,54.94,0.47,0.00
e9_t0_audit,1,0,0,3163,GetLive,73.29,0.00,64.38,65.40,0.48,0.00
e9_t0_audit,1,0,0,3186,ScanNonIntersect,113.97,0.00,64.68,0.00,0.00,2.25
e9_t0_audit,1,0,0,3193,ScanNonIntersect,137.26,0.00,81.60,0.00,0.00,1.68
e9_t0_audit,1,0,0,3195,GetLive,80.61,0.00,72.99,74.52,0.43,0.00
e9_t0_audit,1,0,0,3220,GetLive,81.86,0.00,72.75,74.66,0.39,0.00
e9_t0_audit,1,0,0,3221,ScanNonIntersect,87.92,0.00,40.60,0.00,0.00,1.77
e9_t0_audit,1,0,0,3226,GetLive,46.51,0.00,38.40,39.99,0.47,0.00
e9_t0_audit,1,0,0,3240,ScanNonIntersect,96.11,0.00,45.55,0.00,0.00,4.04
e9_t0_audit,1,0,0,3247,ScanNonIntersect,127.30,76.73,0.00,0.00,0.00,1.82
e9_t0_audit,1,0,0,3248,GetLive,79.65,0.00,71.22,72.79,0.38,0.00
e9_t0_audit,1,0,0,3275,GetLive,78.81,0.00,69.13,70.89,0.51,0.00
e9_t0_audit,1,0,0,3311,GetLive,85.29,76.78,0.00,78.84,0.23,0.00
e9_t0_audit,1,0,0,3360,GetLive,88.86,0.00,80.60,83.29,0.40,0.00
e9_t0_audit,1,0,0,3386,GetLive,84.00,76.60,0.00,78.69,0.18,0.00
e9_t0_audit,1,0,0,3392,GetLive,89.78,0.00,80.27,81.96,0.57,0.00
e9_t0_audit,1,0,0,3407,GetLive,77.20,0.00,70.37,71.20,0.40,0.00
e9_t0_audit,1,0,0,3435,ScanNonIntersect,128.66,0.00,75.09,0.00,0.00,2.18
e9_t0_audit,1,0,0,3448,GetLive,81.10,0.00,71.52,73.45,0.61,0.00
e9_t0_audit,1,0,0,3458,GetLive,89.41,0.00,81.98,83.70,0.38,0.00
e9_t0_audit,1,0,0,3474,GetLive,80.85,0.00,70.89,72.57,0.52,0.00
e9_t0_audit,1,0,0,3485,GetLive,91.26,0.00,82.76,84.49,0.42,0.00
e9_t0_audit,1,0,0,3494,ScanNonIntersect,100.57,0.00,47.58,0.00,0.00,1.60
e9_t0_audit,1,0,0,3495,ScanNonIntersect,108.65,0.00,53.27,0.00,0.00,1.95
e9_t0_audit,1,0,0,3524,GetLive,75.75,0.00,66.64,67.70,0.54,0.00
e9_t0_audit,1,0,0,3528,GetLive,84.71,75.83,0.00,77.68,0.23,0.00
e9_t0_audit,1,0,0,3540,GetLive,89.37,0.00,79.90,81.63,0.61,0.00
e9_t0_audit,1,0,0,3543,GetLive,72.30,0.00,65.05,66.39,0.35,0.00
e9_t0_audit,1,0,0,3556,GetLive,59.69,0.00,52.07,52.96,0.40,0.00
e9_t0_audit,1,0,0,3562,GetLive,78.91,0.00,71.17,72.82,0.36,0.00
e9_t0_audit,1,0,0,3581,ScanNonIntersect,122.70,0.00,62.11,0.00,0.00,1.92
e9_t0_audit,1,0,0,3590,GetLive,86.60,0.00,77.98,79.59,0.50,0.00
e9_t0_audit,1,0,0,3594,ScanNonIntersect,98.76,0.00,49.95,0.00,0.00,1.58
e9_t0_audit,1,0,0,3603,GetLive,93.72,0.00,86.22,87.78,0.53,0.00
e9_t0_audit,1,0,0,3618,GetLive,73.21,0.00,65.11,66.69,0.41,0.00
e9_t0_audit,1,0,0,3625,GetLive,82.73,0.00,75.27,76.77,0.38,0.00
e9_t0_audit,1,0,0,3626,GetLive,18.01,0.00,12.16,12.84,0.32,0.00
e9_t0_audit,1,0,0,3631,GetLive,68.05,0.00,61.16,62.35,0.37,0.00
e9_t0_audit,1,0,0,3646,ScanIntersect,130.27,0.00,80.17,0.00,0.00,1.43
e9_t0_audit,1,0,0,3659,GetLive,86.49,0.00,78.28,79.93,0.52,0.00
e9_t0_audit,1,0,0,3690,ScanNonIntersect,124.16,0.00,82.30,0.00,0.00,1.96
e9_t0_audit,1,0,0,3695,GetLive,67.20,0.00,54.04,54.81,0.46,0.00
e9_t0_audit,1,0,0,3696,GetLive,33.02,0.00,19.23,20.77,0.41,0.00
e9_t0_audit,1,0,0,3718,GetLive,87.09,0.00,71.82,73.54,0.49,0.00
e9_t0_audit,1,0,0,3722,GetLive,88.51,0.00,79.17,80.54,0.42,0.00
e9_t0_audit,1,0,0,3728,GetLive,89.82,0.00,82.41,84.84,0.42,0.00
e9_t0_audit,1,0,0,3765,GetLive,111.04,0.00,101.99,103.73,0.54,0.00
e9_t0_audit,1,0,0,3780,GetLive,75.78,0.00,68.11,69.48,0.46,0.00
