exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
e9_t0_audit,PRELOAD,FLUSH,2,0.4588,"Write Buffer Full",59993904,"/home/wam/grad/s14-range-delete-study/run-db/e9_dynamic_audit/e9_t0_audit/db/000009.sst"
e9_t0_audit,PRELOAD,FLUSH,3,0.7218,"Write Buffer Full",59991783,"/home/wam/grad/s14-range-delete-study/run-db/e9_dynamic_audit/e9_t0_audit/db/000011.sst"
e9_t0_audit,PRELOAD,FLUSH,4,0.7218,"Manual Flush",15631721,"/home/wam/grad/s14-range-delete-study/run-db/e9_dynamic_audit/e9_t0_audit/db/000013.sst"
e9_t0_audit,PRELOAD,FLUSH,2,0.4209,"Write Buffer Full",59993904,"/home/wam/grad/s14-range-delete-study/run-db/e9_dynamic_audit/e9_t0_audit/db/000009.sst"
e9_t0_audit,PRELOAD,FLUSH,3,0.6915,"Write Buffer Full",59992844,"/home/wam/grad/s14-range-delete-study/run-db/e9_dynamic_audit/e9_t0_audit/db/000011.sst"
e9_t0_audit,PRELOAD,FLUSH,4,0.6915,"Manual Flush",15632067,"/home/wam/grad/s14-range-delete-study/run-db/e9_dynamic_audit/e9_t0_audit/db/000013.sst"
