exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
smoke_e5_hot_oracle,E5-Hot-OracleFlush,0,"Phase A (Read Sensitive)",0.2458,100000,406907.8135,0.5602,105.4131,0.0000,105.4131,16.5959,0.0000,26.7042,0
smoke_e5_hot_oracle,E5-Hot-OracleFlush,0,"Phase B (Write Burst)",0.2272,100000,440206.5680,0.8019,148.8098,148.1800,152.4607,101.9579,103.3262,49.0076,0
smoke_e5_hot_oracle,E5-Hot-OracleFlush,0,"Phase B-Inject (20% Window)",0.0454,20000,440206.5680,1.0340,188.3649,188.4791,187.0002,131.0293,131.5065,67.6083,0
smoke_e5_hot_oracle,E5-Hot-OracleFlush,0,"Phase B-PostBurst (80% Window)",0.1817,80000,440206.5680,0.7048,65.3526,59.8194,70.0691,10.4649,2.9423,27.6761,0
smoke_e5_hot_oracle,E5-Hot-OracleFlush,0,"Phase C (Read Recovery)",0.1430,100000,699360.6585,0.8087,78.8573,64.6437,92.4250,13.3191,3.6110,23.7137,0
