elapsed_sec,phase,total_ops,cum_new_puts,cum_update_puts,cum_del_ranges,iops,put_p50,put_p99,get_del_p99,get_adj_p99,get_ctl_p99,scan_inter_p99,scan_non_p99,scan_bound_p99,del_range_p99,memtable_size_bytes,num_imm,l0_files,l1_files,l2_files,l3_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,pending_comp_bytes,is_write_stopped,db_disk_bytes
5.00,1,1279262,828114,166871,585,255852.40,22.00,41.00,25.00,25.00,25.00,300.00,324.00,0.00,145.00,3147800,1,4,0,0,0,0,0,0,0,804196135,0,1207278392
10.06,2,2258269,1304211,364749,1496,195801.40,17.00,38.00,30.00,33.00,34.00,363.00,421.00,0.00,70.00,60819920,0,4,0,0,0,0,0,0,0,1768323447,0,2581276410
15.10,2,3105151,1600851,576438,1496,169376.40,14.00,34.00,26.00,28.00,28.00,343.00,393.00,0.00,0.00,7342136,1,2,0,0,0,0,0,0,0,1480538660,0,1848791768
20.14,2,3942035,1892756,785174,2978,167376.80,13.00,35.00,101.00,104.00,109.00,342.00,391.00,0.00,97.00,11536472,1,3,0,0,0,0,0,0,0,250377327,0,2600267242
25.18,3,4780678,2224683,918468,4992,167728.60,12.00,40.00,127.00,122.00,124.00,348.00,444.00,0.00,95.00,45091160,0,4,0,0,0,0,0,0,0,1357530176,0,2313908570
