threshold,phase,phase_true_iops_mean,phase_true_iops_std,scan_us_per_key_mean,scan_us_per_key_std,scan_p99_us_mean,scan_p99_us_std,put_p99_us_mean,put_p99_us_std,get_del_p99_us_mean,get_del_p99_us_std
0,Phase A (Read Sensitive),253260.80165679046,5012.980177297001,0.7786026868686869,0.017315848746446576,132.82573333333332,4.463031443113769,69.76746666666665,27.391611467422326,24.842666666666663,0.6039872478418364
0,Phase B (Write Burst),8449.4196734206,135.26200856800037,45.683986919191916,0.7233114488325586,12423.68,64.8407546737903,281.0464666666666,16.69711438649072,12216.546666666667,224.4155849212691
0,Phase C (Read Recovery),114818.01522607042,6985.362226256751,2.0100072843137258,0.1317321714005389,227.90498333333326,8.904447097408983,49.16223333333331,2.7041260955354014,13.600916666666661,1.0847788417717006
256,Phase A (Read Sensitive),252311.13099807,11833.847831439043,0.7833061313131312,0.04086965940467952,141.01446666666664,11.704861299287375,51.48026666666666,4.609066700416568,26.330866666666665,1.2139866812375744
256,Phase B (Write Burst),25523.83946635161,3577.239962230619,3.405711515151515,0.14493382133266872,748.5439333333333,12.937841345276833,8327.895333333328,5140.262086897987,303.75759999999997,22.863770670648346
256,Phase C (Read Recovery),134121.33990183563,6212.713813593613,1.4805208823529412,0.054988828595451046,314.35443333333325,43.20734682536315,772.4544833333334,997.4839040723417,28.556666666666654,2.3603891918965823
2048,Phase A (Read Sensitive),248104.79259905173,7378.3409807007765,0.7909584747474748,0.021920550486440964,132.74806666666666,3.297342891211384,51.01953333333332,4.42402896112682,28.176933333333327,1.988873271198767
2048,Phase B (Write Burst),80144.03585339796,10161.303814179833,3.231193272727273,0.2381272320769966,962.175733333333,151.68770289621003,334.4923999999997,143.10099823560475,749.9685333333332,118.5453332863939
2048,Phase C (Read Recovery),184034.04160920208,6362.300055522658,1.1328510882352942,0.06232986258214621,210.2257333333333,16.116146585817493,48.92366666666664,7.953561294721284,16.970549999999996,2.381355395567827
