write_buffer_size,runs_count,iops_mean,iops_std,put_p99_us_mean,put_p99_us_std,get_ctrl_p99_us_mean,get_ctrl_p99_us_std,scan_us_per_key_mean,scan_us_per_key_std,scan_p99_us_mean,scan_p99_us_std,flush_count_mean,flush_count_std,flush_write_mb_mean,flush_write_mb_std,compaction_read_mb_mean,compaction_read_mb_std,compaction_write_mb_mean,compaction_write_mb_std,cwa_mean,cwa_std,pwa_mean,pwa_std,total_sst_mb_mean,total_sst_mb_std,write_stall_us_mean,write_stall_us_std
16mb,3,281665.3333333333,15209.545474982333,32.38633333333333,3.5525805018637113,27.248666666666665,2.574000431667063,1.0964666666666667,0.025358570324229373,208.93633333333332,22.816636216195892,19.0,0.0,259.3333333333333,1.699673171197595,373.0,75.68795588907568,574.0,111.01651528789158,2.242859132545108,0.4337881623288872,3.2561834096183335,0.432016887230164,448.6666666666667,3.091206165165235,69339.66666666667,53519.46086134359
64mb,3,304385.6666666667,8753.927740670979,29.448333333333334,1.5136852013839897,22.58366666666667,0.38994814470074834,0.9612310000000001,0.01085268209553137,171.054,3.263154710807723,4.0,0.0,206.0,0.0,304.3333333333333,0.4714045207910317,261.0,0.0,1.019836643892462,0.0,1.824765182750114,0.0,313.0,0.0,0.0,0.0
128mb,3,325922.0,6490.584103145109,29.128,1.3321103557888896,19.524,0.38943292105316435,0.7966323333333333,0.008846047491519711,134.1483333333333,4.428021103031108,2.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306875571183541,1.1102230246251565e-16,448.6666666666667,0.4714045207910317,0.0,0.0
