threshold,runs_count,iops_mean,iops_std,scan_us_per_key_mean,scan_us_per_key_std,scan_p99_us_mean,scan_p99_us_std,put_p99_us_mean,put_p99_us_std,get_del_p99_us_mean,get_del_p99_us_std,flush_count_mean,flush_count_std,cwa_mean,cwa_std,pwa_mean,pwa_std,compaction_drop_keys_mean,compaction_drop_keys_std,total_sst_mb_mean,total_sst_mb_std
0,3,4698.636666666666,135.55722858712562,25.9837,0.7379356927718482,13137.233333333332,128.09208493198244,253.779,12.58766430544867,12856.1,277.630413799834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26312.0,0.0
256,3,46438.23333333334,6705.671642390159,4.285293333333333,0.49385699160339497,3969.9599999999996,1238.0441916991492,1638.5363333333335,1345.6868811999154,307.2813333333333,71.14794847046227,78.0,0.0,134.42681904761903,39.19814694577056,135.53859047619048,39.19814694577057,103452.33333333333,41656.15214533809,26303.333333333332,11.145502331533658
2048,3,38569.1,6467.2440719882115,4.69146,0.5256409790595352,1874.4633333333334,393.64961969864635,151.2123333333333,48.71282504182606,1111.18,220.03027079623993,9.0,0.0,119.95428571428572,67.18596933721523,121.00754285714284,67.18596933721523,73888.66666666667,58501.878587120795,26310.666666666668,16.110727964792762
