trace,cycles_clean,cycles_t0,cycles_t512,delta_t0_minus_clean,pct_overhead_over_clean,delta_t0_minus_t512,cycles_preflush,cycles_postflush,delta_preflush_minus_postflush,pct_isolation_elimination
ScanIntersect,52943.18377590549,54940.387179178106,44435.132790503594,1997.203403272615,3.772352285662021,10505.254388674512,54519.37266960042,57278.22142067973,-2758.8487510793057,-5.060309053441508
GetLive,6513.889191857473,7302.581687681998,6568.464085665171,788.6924958245254,12.107858647801548,734.1176020168268,7586.766285537365,7397.131275091073,189.63501044629174,2.4995499177006746
ScanNonIntersect,55829.09331663757,58630.710745156386,53784.17018329127,2801.617428518817,5.018203345394309,4846.540561865113,57086.18513026467,58656.22084930574,-1570.0357190410723,-2.750290136673901
