threshold,runs_count,iops_mean,iops_std,scan_us_per_key_mean,scan_us_per_key_std,scan_p99_us_mean,scan_p99_us_std,put_p99_us_mean,put_p99_us_std,get_del_p99_us_mean,get_del_p99_us_std,flush_count_mean,flush_count_std,flush_write_mb_mean,flush_write_mb_std,compaction_read_mb_mean,compaction_read_mb_std,compaction_write_mb_mean,compaction_write_mb_std,cwa_mean,cwa_std,pwa_mean,pwa_std,compaction_drop_keys_mean,compaction_drop_keys_std,total_sst_mb_mean,total_sst_mb_std
0,3,23074.56666666667,360.4759107377662,8.53504,0.12519965202294517,9673.869999999999,152.6278847393224,218.36800000000002,7.841071908015303,7977.406666666667,200.78898680510892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26311.666666666668,0.4714045207910317
256,3,59281.5,5975.139748993321,1.4996,0.050372060377422215,514.1793333333334,9.692094178017246,3766.126666666667,1151.309718084389,166.53966666666668,3.5986953500153733,74.66666666666667,0.9428090415820634,18.0,0.0,24161.666666666668,1051.0510083826675,16042.0,565.2368235232615,938.418051985147,33.06498185020393,939.4710082833476,33.064981850203935,31634094.666666668,1886676.2601326762,18494.666666666668,539.2626653331587
2048,3,136574.0,11437.69822414749,1.3289600000000001,0.06815855387746036,591.984,85.40181836861942,163.73333333333332,29.963162509247187,357.6816666666667,25.157855252165064,9.0,0.0,16.0,0.0,20204.666666666668,1120.5431222799455,14069.0,666.6038303720334,823.0023421879464,38.99470564415662,823.9383033419023,38.99470564415665,24290204.666666668,2305176.3874021056,20085.0,476.6221424426971
