benchmark,phase,phase_true_iops_mean,phase_true_iops_std,scan_us_per_key_mean,scan_us_per_key_std,scan_p99_us_mean,scan_p99_us_std,get_ctrl_p99_us_mean,get_ctrl_p99_us_std,put_p99_us_mean,put_p99_us_std
LS24-Clean,Phase A (Read Sensitive),202497.65011571767,80023.19964440542,1.2500004343434343,0.6520852908870134,2769.315933333331,3388.271711222233,858.5783999999993,1096.1521914702528,65.70273333333334,13.218228469638268
LS24-Clean,Phase B (Write Burst),280479.18683734664,71551.3053662889,1.1294350404040403,0.48914460160983886,1485.2027333333324,1604.6992618388128,538.1965333333332,659.3426020540828,50.03059999999999,6.946561464974352
LS24-Clean,Phase C (Read Recovery),194041.56754466795,58609.947221620736,1.1155258431372548,0.44408038847817377,1122.1145499999996,1076.989848442366,468.6352833333331,558.0699982145075,46.047199999999975,6.29188308232651
