threshold,phase,iops_mean,scan_us_per_key_mean,scan_us_per_key_std,scan_p99_us_mean,scan_p99_us_std,put_p99_us_mean,put_p99_us_std,get_del_p99_us_mean,get_del_p99_us_std,flush_count_mean
0,Phase A (Read Sensitive),2999.979797979798,90.80759131313131,3.293117919222238,19117.653333333332,968.8527951941688,485.9027333333332,77.68732288935901,19207.306666666667,659.2980700377899,0.0
0,Phase B (Write Burst),3000.1717171717173,592.7380707070707,19.88091625181124,33289.12,2649.7290749055855,295.1587333333333,4.169370671403008,32490.72,3467.3366259421664,0.0
0,Phase C (Read Recovery),2999.6862745098038,931.2426176470589,60.03311933724952,41278.13,1243.9135346625458,1965.2673333333312,2228.430438025317,39791.323333333334,2426.2127110695706,0.0
64,Phase A (Read Sensitive),3000.1919191919187,4.767927878787879,0.5006268112601389,536.6311999999999,46.60114082408997,58136.559999999976,11003.504913726349,134.8762,16.493678911227388,153.0
64,Phase B (Write Burst),3000.222222222222,10.589331919191919,0.3362620116189985,395.5317333333333,35.32888304690968,4568.991999999997,1281.5022942375074,114.76379999999999,5.744426467455221,78.0
64,Phase C (Read Recovery),2999.3823529411766,11.999922647058824,0.6367055098849693,272.4491,13.44186615913133,4008.3430000000003,1089.4191293893734,91.68088333333333,8.954435906422157,79.0
256,Phase A (Read Sensitive),3000.2929292929293,4.692812424242425,0.07950706980479182,529.8203333333332,7.578532658913785,6544.652666666666,1371.153366228916,226.07166666666663,11.434357184477939,38.0
256,Phase B (Write Burst),3000.1717171717173,7.994803838383838,0.23847528753957936,363.24080000000004,3.8989840454490934,2754.2780666666627,1442.0674502140828,176.77833333333334,8.524809128394352,20.0
256,Phase C (Read Recovery),2999.3039215686276,7.856727254901962,0.3945952164659444,171.0033,8.949531672383753,821.0695333333327,294.398174252744,104.95146666666666,9.513681266587724,20.0
2048,Phase A (Read Sensitive),3000.080808080808,14.304892626262623,0.22525700829769124,2258.277333333333,170.74919357805317,1339.9340666666646,88.36379844624685,2171.298666666666,270.2293034508943,4.0
2048,Phase B (Write Burst),3000.010101010101,43.178112121212116,0.26634581334516766,3011.7253333333333,28.372491152914773,336.0291333333333,6.590064150083994,2879.6446666666666,34.74349578778099,3.0
2048,Phase C (Read Recovery),2999.6862745098038,47.83165784313726,3.6331962768196058,2737.1141666666663,162.61673148866183,1268.615666666665,284.5416129769323,2552.6809999999996,249.00425963257493,2.0
