workload,threshold,iops,get_p99_us,scan_p99_us,scan_us_per_key,put_p99_us,flush_count,cwa,pwa,is_pareto
get_heavy,0,1748.2833333333335,40146.700000000004,40487.36666666667,225.34766666666667,363.97566666666665,0.0,0.0,0.0,True
get_heavy,64,33462.666666666664,113.62933333333335,402.507,5.6243566666666664,32655.46666666667,307.6666666666667,349.93493333333333,351.16373333333337,False
get_heavy,128,64285.93333333333,125.31033333333333,381.3396666666667,5.181766666666666,8657.660000000002,155.0,172.30506666666668,173.53386666666668,False
get_heavy,256,89045.66666666667,179.79600000000002,380.40500000000003,5.04929,2709.883333333333,78.0,106.496,107.7248,True
get_heavy,512,84783.66666666667,313.40433333333334,423.74033333333335,5.98462,438.98199999999997,39.0,88.20053333333334,89.42933333333333,True
get_heavy,1024,49080.5,714.5663333333333,850.0099999999999,9.458543333333333,420.3976666666667,19.0,77.4144,78.6432,True
get_heavy,2048,26058.933333333334,1722.5266666666666,1899.5600000000002,16.940766666666665,422.94866666666667,9.0,44.2368,45.4656,True
scan_heavy,0,1758.5633333333335,39499.1,39610.23333333333,224.34466666666665,370.348,0.0,0.0,0.0,True
scan_heavy,64,33927.433333333334,117.121,413.65799999999996,6.10414,26053.233333333334,308.0,344.064,345.2928,False
scan_heavy,128,63387.56666666667,130.70866666666666,390.85833333333335,5.150806666666667,9369.603333333333,155.0,177.6298666666667,178.85866666666666,False
scan_heavy,256,86839.5,180.57033333333334,396.57466666666664,5.067233333333333,3324.52,78.0,103.49226666666667,104.72106666666666,True
scan_heavy,512,74006.7,331.64133333333336,470.91400000000004,6.791833333333334,465.4376666666667,39.0,90.5216,91.7504,True
scan_heavy,1024,54795.5,674.706,788.9193333333333,8.502513333333333,378.9546666666667,19.0,77.4144,78.6432,True
scan_heavy,2048,24889.7,1771.8833333333332,1948.6666666666667,17.570733333333333,439.48499999999996,9.0,44.2368,45.4656,True
write_heavy,0,1716.3466666666666,39970.333333333336,40126.36666666666,228.70399999999998,356.4403333333333,0.0,0.0,0.0,True
write_heavy,64,33266.96666666667,113.777,420.66,5.649963333333333,31274.233333333337,307.6666666666667,354.304,355.5328,False
write_heavy,128,63334.4,132.25633333333334,408.35966666666667,5.365876666666668,8290.85,155.0,174.6261333333333,175.85493333333332,False
write_heavy,256,90446.76666666666,175.37233333333333,375.26666666666665,4.804123333333333,3397.213333333333,77.33333333333333,103.08266666666667,104.31146666666666,True
write_heavy,512,85172.40000000001,315.3136666666667,432.8976666666667,6.060503333333333,410.90500000000003,39.0,83.83146666666666,85.06026666666666,True
write_heavy,1024,55247.1,681.0706666666666,801.4523333333333,8.579583333333332,379.5336666666667,19.0,77.4144,78.6432,True
write_heavy,2048,27512.666666666668,1699.5533333333333,1849.1666666666667,15.950933333333333,420.62833333333333,9.0,44.2368,45.4656,True
