layer,condition,trace,n_reps,iops_mean,iops_std,cycles_per_op_mean,cycles_per_op_std,insn_per_op_mean,insn_per_op_std,ipc_mean,branch_miss_rate_mean,cache_miss_rate_mean,worker_cpu_ratio_mean
isolation,PostFlush,GetLive,3,505499.4184034213,5988.12029152923,7397.131275091073,112.74442205129762,16412.748131057288,350.9153007549652,2.218664850532635,0.1549197451531303,0.0634002437525206,99.99592345191623
isolation,PostFlush,ScanIntersect,3,63636.60440332427,2819.3630215365056,57278.22142067973,2548.867545337066,135022.242407292,4987.994751546031,2.3578772976012803,0.20819672022307045,0.33643489493036033,99.99541599164723
isolation,PostFlush,ScanNonIntersect,3,62467.12780052216,1499.4227445432864,58656.22084930574,1818.7731423620558,141270.17080570865,4453.499606357308,2.408418021348521,0.14546277802575122,0.054279184948305324,99.99463429159407
isolation,PreFlush,GetLive,3,493926.6961290866,36350.22303652789,7586.766285537365,513.3701771732706,16627.32670929952,585.8827988525027,2.1952315774894573,0.1722783224548148,0.08723470844127997,99.99433477120829
isolation,PreFlush,ScanIntersect,3,66752.6191854177,2505.50107394889,54519.37266960042,2110.8975872009246,129267.56924815445,4623.965356763648,2.3712240439677963,0.19317496785916258,0.4004047657558478,99.99480735495399
isolation,PreFlush,ScanNonIntersect,3,64154.48219358005,2505.5864820167185,57086.18513026467,2206.6725896942944,136962.98450511423,4113.087451465905,2.3997794644289647,0.14554093785703293,0.05762648450697765,99.99409379254901
normal,CLEAN,GetLive,3,574203.8761288027,22666.24878240831,6513.889191857473,253.74212146348663,14307.838548300579,586.0122088355137,2.1967691221863244,0.1961420732034048,0.052471460050958985,99.99504126159168
normal,CLEAN,ScanIntersect,3,68997.71851174196,122.58720551533955,52943.18377590549,95.23410805802767,129589.84355272345,0.5312395314830944,2.4477206306354677,0.14393526920345606,0.5161085978620711,99.99437085973285
normal,CLEAN,ScanNonIntersect,3,65295.20479772609,272.6429243709963,55829.09331663757,154.73601899535217,136680.52649420875,27.175898523161564,2.448207498534123,0.14883094505156788,0.07151021798036054,99.996031005533
normal,T0,GetLive,3,512500.1550576458,24594.073023191035,7302.581687681998,346.7263218918576,16288.645053854054,587.140565607147,2.231381091409467,0.1977547910878343,0.12393741902118938,99.99516927570282
normal,T0,ScanIntersect,3,66496.5008583359,2485.7971691050698,54940.387179178106,2269.930790968603,129269.58557671605,4559.562094112121,2.3533316159915394,0.19983002294201826,0.16703948000623223,99.9933273454846
normal,T0,ScanNonIntersect,3,62355.15142433745,171.0550297776984,58630.710745156386,153.69694142173938,141714.9833961587,34.03954895007115,2.4170890806134473,0.1449089230567804,0.06104664265799661,99.9939628374318
normal,T512,GetLive,3,569505.7957547443,3145.6029926235883,6568.464085665171,46.4228578380707,14853.243270838342,2.332281182306518,2.261371282885403,0.13479753565164898,0.092018034781694,99.99402524523788
normal,T512,ScanIntersect,3,81799.47359437552,170.51704818789057,44435.132790503594,136.11073060592858,104519.88527821314,0.46425094438155534,2.352204945423709,0.14329394053547972,0.29139455748813936,99.9941046879659
normal,T512,ScanNonIntersect,3,67814.72706975107,2658.7972929964712,53784.17018329127,1891.878201989327,128819.09717098747,3821.243837637493,2.3954382760056596,0.15986329167720711,0.12180363128908117,99.99343099759996
