exp_id,group_name,desc,value_size,memtable_max_range_deletions,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_count,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_aff_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio_pct,block_cache_hits,block_cache_misses,block_cache_hit_rate,flush_count_total,flush_reason_range_del_count,flush_write_mb,compaction_read_mb,compaction_write_mb,stall_micros,compaction_drop_keys,write_amplification,l0_files_final,l1_files_final,l2_files_final,pending_compact_mb,total_sst_mb,sha256_checksum,sample_verified_ok,sample_verified_notfound,full_scan_ok
e3_get_heavy_t0000_r01,e3_get_heavy_t0000,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 0",256,0,113.521,200000,1761.78,10000,61.857,219.585,367.417,80.0995,2570,65.664,24387,40060.7,5310.25,126812,54.237,24275.1,39474.4,5220.64,618,49.918,21401.6,32854.8,4735.62,40000,352.357,8770.23,24.8902,421.499,24642,39704.6,5572.44,223.881,20000,121.428,318.617,480.761,144.147,20000,488017,97.6034,463270,31382,93.6557,0,0,0,0,0,0,0,0,0,0,0,0,130,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0000_r02,e3_get_heavy_t0000,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 0",256,0,112.888,200000,1771.66,10000,58.034,205.513,344.787,73.6181,2570,88.63,25523.3,41230.5,5488.58,126812,57.196,24574.8,40224.1,5195.48,618,55.274,23909.5,40979.3,5136.85,40000,354.332,8819.09,24.8893,429.05,24999.6,40558.6,5510.78,221.411,20000,118.219,297.259,452.032,132.369,20000,488017,97.6034,462808,31420,93.6426,0,0,0,0,0,0,0,0,0,0,0,0,130,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0000_r03,e3_get_heavy_t0000,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 0",256,0,116.863,200000,1711.41,10000,61.864,230.91,379.723,85.3027,2570,76.16,25417.3,40584.2,5461.74,126812,58.723,25260.2,40741.6,5368.82,618,77.669,24147.6,39085.6,5419.15,40000,342.282,8519.17,24.8893,439.186,25984.8,41198.9,5743.23,230.751,20000,123.068,315.608,482.75,148.231,20000,488017,97.6034,463353,31399,93.6536,0,0,0,0,0,0,0,0,0,0,0,0,130,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0064_r01,e3_get_heavy_t0064,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 64",256,64,6.03999,200000,33112.7,10000,142.347,4431.95,32348,1264.82,2570,41.822,109.264,148.849,48.6698,126812,19.203,83.907,119.646,30.3319,618,35.658,105.665,137.278,42.5763,40000,6622.53,164863,24.8943,130.93,322.718,415.005,152.266,6.11649,20000,207.173,3117.24,28247.4,1193.03,20000,488017,97.6034,366616,270221,57.5683,308,308,3,676,851,3776719,494999,348.759,0,0,0,0,3,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0064_r02,e3_get_heavy_t0064,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 64",256,64,5.96354,200000,33537.1,10000,128.426,3329.06,34175.6,1214.12,2570,37.576,101.645,137.659,43.5714,126812,17.081,75.933,109.813,26.5043,618,32.63,94.047,127.918,38.678,40000,6707.43,166955,24.891,115.554,297.894,394.619,133.76,5.37384,20000,189.794,3223.42,34662.4,1261.02,20000,488017,97.6034,362628,269233,57.3905,307,307,3,665,865,3910062,495014,354.505,0,0,0,0,3,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0064_r03,e3_get_heavy_t0064,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 64",256,64,5.928,200000,33738.2,10000,136.501,5479.37,31442.8,1254.74,2570,38.462,103.128,141.122,43.9422,126812,17.453,78.4,111.429,26.5638,618,29.469,106.239,152.864,39.0876,40000,6747.64,167971,24.8933,117.514,298.347,397.897,133.994,5.38274,20000,194.614,4971.91,28919.8,1228.26,20000,488017,97.6034,366434,266342,57.909,308,308,3,661,847,3908355,494851,347.048,0,0,0,0,3,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0128_r01,e3_get_heavy_t0128,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 128",256,128,3.03043,200000,65997.2,10000,81.286,2235.99,9665.13,462.31,2570,31.263,105.679,141.28,40.5956,126812,15.496,85.98,117.163,26.9384,618,28.984,101.202,143.013,36.9916,40000,13199.4,328548,24.891,100.439,261.933,354.987,116.87,4.69526,20000,130.257,2319.32,9400.34,510.171,20000,488017,97.6034,371000,146520,71.6881,155,155,3,277,396,1341480,493195,162.524,0,0,0,0,3,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0128_r02,e3_get_heavy_t0128,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 128",256,128,3.44411,200000,58070.2,10000,92.009,3259.63,10278.7,543.113,2570,37.174,112.78,148.325,46.0345,126812,17.148,92.361,128.771,31.175,618,32.276,103.64,135.309,40.8344,40000,11614,289099,24.8923,114.018,285.424,396.285,133.099,5.34699,20000,145.031,3026.49,10248.3,572.776,20000,488017,97.6034,375145,173013,68.4374,155,155,3,370,477,1552089,493318,195.533,0,0,0,0,3,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
e3_get_heavy_t0128_r03,e3_get_heavy_t0128,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 128",256,128,2.90738,200000,68790.4,10000,92.549,1430.49,6029.15,369.087,2570,38.055,117.921,157.64,47.928,126812,17.564,96.823,129.997,32.2645,618,30.909,111.554,152.591,42.0309,40000,13758.1,342449,24.8908,117.932,288.815,392.747,136.975,5.50305,20000,149.624,1605.86,6205.33,428.306,20000,488017,97.6034,380158,146829,72.138,155,155,3,284,389,956959,494252,159.585,0,0,0,0,3,,235,9765,FAIL
e3_get_heavy_t0256_r01,e3_get_heavy_t0256,"E3 Get-heavy (Get 80%, Scan 10%, Put 5%, Del 5%) Threshold 256",256,256,2.61194,200000,76571.4,10000,63.405,1154.9,2912.81,227.409,2570,43.605,178.335,217.545,62.6109,126812,18.455,155.07,193.769,46.9504,618,40.485,175.865,225.021,60.7576,40000,15314.3,381202,24.8919,121.588,299.117,414.188,142.305,5.71691,20000,116.226,1186.98,2948.27,277.761,20000,488017,97.6034,352586,112851,75.7538,78,78,3,207,274,495687,494463,112.614,0,0,0,0,3,0b87da07ae1feadb91234b8a1484e2962a5202941b122582ee738689b6e1500f,235,9765,PASS
