exp_id,group_name,second_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
e1_span_010_dynamic_r01,e1_span_010_dynamic,1,1.00028,22389,11.1945,71,96.882,1746.14,1994.41,278,54.348,1679.83,1860.8,14150,52.398,1677.02,1944.02,4505,198.364,1822.01,2104.78,79.9925,6.07913,1128,42.142,160.154,259.287,2269,86.972,225.666,329.885,22401,22401,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,19104,22668,45.734,0,2266,261.891
e1_span_010_dynamic_r01,e1_span_010_dynamic,2,2.00254,31118,15.559,17,1900.69,2621.98,2621.98,102,1889.01,2610.74,2738.82,5498,184.191,2676.1,2865.69,1741,400.16,2808.38,3053.53,56.7926,20.5763,464,61.901,177.225,273.82,895,117.306,276.927,389.468,8717,8717,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,11201,2414,82.2696,0,3164,262.065
e1_span_010_dynamic_r01,e1_span_010_dynamic,3,3.00335,38018,19.009,22,58.626,3316.26,3704.97,94,54.561,3544.29,6206.37,4360,53.528,3375.14,4091.56,1401,364.424,3595.26,4822.02,50.2148,30.1464,358,65.009,242.592,358.04,666,126.861,316.992,445.994,6901,6901,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,9255,1191,88.5985,0,3830,262.198
e1_span_010_dynamic_r01,e1_span_010_dynamic,4,4.00433,44011,22.0055,24,49.599,3807.26,7178.71,77,58.779,3980.51,4012.96,3785,47.158,3972.39,6615.01,1205,354.942,4249.89,7271.5,44.5037,39.9268,320,67.389,272.451,495.703,581,143.867,418.079,627.25,5992,5992,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,8166,618,92.9645,0,4411,262.316
e1_span_010_dynamic_r01,e1_span_010_dynamic,5,5.00532,49140,24.57,9,27.789,4194.91,4194.91,76,42.355,4463.86,5272.48,3267,38.916,4671.49,8213.46,1005,314.944,4939.37,8388.09,40.0408,50.6902,267,72.071,328.855,2935,505,140.427,410.018,610.29,5129,5129,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,6940,423,94.2551,0,4916,262.415
e1_span_010_dynamic_r01,e1_span_010_dynamic,6,6.00657,53276,26.638,9,91.096,4954.02,4954.02,42,114.896,5120.96,8892.38,2665,75.686,5519.5,9293.81,828,433.206,5704.8,9507.85,38.6377,62.5066,179,76.424,323.833,483.36,413,145.469,402.582,593.299,4136,4136,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,5668,243,95.889,0,5329,262.485
e1_span_010_dynamic_r01,e1_span_010_dynamic,7,7.00769,57237,28.6185,12,4982.11,5768.62,5768.62,52,44.562,5754.6,9892.82,2528,58.182,5583.3,9779.81,790,404.602,5836.92,9914.12,32.8089,78.5616,199,73.924,249.222,469.831,382,143.355,414.511,572.042,3963,3963,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,5506,238,95.8565,0,5711,262.559
e1_span_010_dynamic_r01,e1_span_010_dynamic,8,8.00876,60921,30.4605,15,261.933,10842.5,10842.5,47,467.642,5974.07,5985.52,2316,59.585,6033.94,10646.6,756,344.503,6219.86,10999.3,31.4418,85.8303,192,73.831,344.306,458.897,356,137.437,364.498,429.655,3682,3682,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,5355,169,96.9406,0,6067,262.631
e1_span_010_dynamic_r01,e1_span_010_dynamic,9,9.00978,64282,32.141,10,32.519,7707.62,7707.62,38,43.438,6729.52,11661.4,2176,46.33,6602.78,11545.6,637,459.188,6735.39,11657.7,29.8524,101.908,166,71.512,269.502,405,334,143.352,385.46,462.762,3361,3361,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,4415,165,96.3974,0,6401,262.693
e1_span_010_dynamic_r01,e1_span_010_dynamic,10,10.0108,67606,33.803,13,67.197,6915.85,6915.85,31,486.067,12424.5,12549.3,2118,39.58,6842.53,12064.7,688,346.997,7032.97,12864.6,30.125,101.326,160,65.664,339.908,2281.05,328,134.137,387.833,2521.8,3338,3338,2.00197,0,0,0,0,0,0,0,0,261.377,0,0,0,0,0,4951,156,96.9454,0,6729,262.754
